Time frequency,Eurofarm indicators,Unit of measure,Farm type,Standard output in Euros,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Poland,506.19,497.73,469.26,444.66
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Portugal,77.95,68.09,73.52,62.65
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Romania,517.88,465.72,391.46,489.56
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Sweden,24.05,24.2,24.15,23.37
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Slovenia,31.6,29.5,28.77,30.71
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,Slovakia,3.61,4.42,5.65,6.51
Annual,hold: Total number of holdings,Thousand,Total,From 4 000 to 14 000 euros,United Kingdom,61.44,53.23,44.42,41.39
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Austria,16.87,16.8,19.22,19.93
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Belgium,7.76,6.95,5.75,5.09
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Bulgaria,1.83,2.34,2.57,3.27
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Switzerland,:,:,16.09,:
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Cyprus,1.03,0.98,0.81,0.79
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Czechia,2.08,2.04,2.03,2.43
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Germany,61.7,56.81,49.31,44.51
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Denmark,4.89,4.22,4.68,4.73
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Estonia,0.53,0.58,0.72,0.76
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Greece,13.75,14.57,13.5,20.61
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Spain,70.06,66.12,68.07,68.55
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Finland,11.72,10.03,8.27,7.03
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,France,114.4,102.78,90.44,80.08
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Croatia,:,1.74,3.86,3.84
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Hungary,4.46,4.73,5.92,6.68
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Ireland,15.69,14.16,11.16,11.41
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Iceland,:,:,0.59,:
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Italy,72.13,75.57,88.66,81.64
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Lithuania,1.14,1.38,2.18,3.05
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Luxembourg,0.43,0.41,0.33,0.29
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Latvia,0.61,0.76,1.07,1.39
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Montenegro,:,:,0.04,:
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Malta,0.17,0.16,0.18,0.2
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Netherlands,9.06,8.56,6.92,6.2
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Norway,:,9.81,8.01,6.21
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Poland,23.72,29.02,35.71,51.3
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Portugal,7.78,6.87,8.02,8.04
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Romania,4.2,5.13,6.45,7.83
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Sweden,6.27,5.8,5.54,5.37
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Slovenia,1.54,1.63,2.17,2.41
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,Slovakia,0.59,0.65,0.67,0.71
Annual,hold: Total number of holdings,Thousand,Total,From 50 000 to 99 999 euros,United Kingdom,28.24,25.08,22.3,22.53
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Austria,0.3,0.36,0.46,0.42
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Belgium,1.73,1.94,2.93,4.17
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Bulgaria,0.45,0.48,0.73,1.23
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Switzerland,:,:,0.86,:
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Cyprus,0.17,0.17,0.11,0.12
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Czechia,1.61,1.59,1.67,1.81
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Germany,12.93,13.51,13.28,17.31
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Denmark,3.48,4.06,5.16,5.74
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Estonia,0.18,0.19,0.23,0.24
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Greece,0.17,0.24,0.24,0.27
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Spain,7.72,7.87,8.51,9.77
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Finland,0.19,0.21,0.42,0.72
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,France,8.05,8.46,10.87,14.68
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Croatia,:,0.1,0.16,0.18
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Hungary,1.22,1.22,1.33,1.43
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Ireland,0.45,0.45,0.4,0.46
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Iceland,:,:,0.03,:
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Italy,8.29,8.42,11.77,10.34
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Lithuania,0.16,0.19,0.24,0.34
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Luxembourg,0.01,0.01,0.04,0.07
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Latvia,0.08,0.09,0.15,0.23
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Montenegro,:,:,0.0,:
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Malta,0.01,0.01,0.01,0.01
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Netherlands,7.74,7.88,8.6,10.1
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Norway,:,0.39,0.44,0.68
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Poland,1.49,1.56,2.18,2.48
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Portugal,0.6,0.62,0.86,0.95
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Romania,0.74,0.7,1.01,1.47
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Sweden,0.82,0.94,1.15,1.72
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Slovenia,0.05,0.06,0.04,0.05
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,Slovakia,0.65,0.61,0.81,0.84
Annual,hold: Total number of holdings,Thousand,Total,500 000 euros or over,United Kingdom,5.08,5.4,7.25,8.8
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Austria,47.81,49.02,34.69,28.07
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Belgium,4.11,3.73,3.08,0.98
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Bulgaria,464.55,428.28,314.59,191.6
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Switzerland,:,:,2.03,:
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Cyprus,31.26,27.17,28.33,24.91
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Czechia,20.41,18.32,3.94,4.11
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Germany,41.68,42.41,8.15,7.65
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Denmark,2.41,2.58,2.44,2.29
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Estonia,17.7,14.81,11.54,11.6
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Greece,423.67,450.62,381.84,352.3
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Spain,419.39,412.51,391.84,377.98
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Finland,12.84,13.12,10.69,:
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,France,98.19,89.0,76.32,55.4
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Croatia,:,107.3,141.02,75.94
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Hungary,602.52,531.23,469.59,388.35
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Ireland,19.33,21.9,34.73,29.28
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Iceland,:,:,0.04,:
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Italy,802.72,778.7,782.16,298.51
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Lithuania,156.98,178.97,146.49,110.1
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Luxembourg,0.17,0.15,:,:
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Latvia,106.37,87.11,61.46,57.13
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Montenegro,:,:,41.07,:
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Malta,8.55,8.37,9.46,6.55
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Netherlands,2.4,2.04,2.06,0.73
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Norway,:,1.61,1.15,1.46
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Poland,1741.16,1655.79,775.74,686.06
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Portugal,206.19,171.0,191.09,162.84
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Romania,3702.25,3421.31,3418.93,3071.07
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Sweden,19.97,17.87,17.9,14.34
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Slovenia,33.14,33.82,33.34,27.57
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,Slovakia,61.39,60.91,14.55,12.4
Annual,hold: Total number of holdings,Thousand,Total,Less than 4 000 euros,United Kingdom,99.16,54.73,32.43,28.9
Annual,hold: Total number of holdings,Thousand,Total,Total,Austria,170.64,165.42,150.17,140.43
Annual,hold: Total number of holdings,Thousand,Total,Total,Belgium,51.54,48.01,42.85,37.76
Annual,hold: Total number of holdings,Thousand,Total,Total,Bulgaria,534.61,493.13,370.49,254.41
Annual,hold: Total number of holdings,Thousand,Total,Total,Switzerland,63.63,:,59.07,:
Annual,hold: Total number of holdings,Thousand,Total,Total,Cyprus,45.17,40.12,38.86,35.38
Annual,hold: Total number of holdings,Thousand,Total,Total,Czechia,42.25,39.4,22.86,26.25
Annual,hold: Total number of holdings,Thousand,Total,Total,Germany,389.88,370.48,299.13,285.03
Annual,hold: Total number of holdings,Thousand,Total,Total,Denmark,51.68,44.62,41.36,38.28
Annual,hold: Total number of holdings,Thousand,Total,Total,Estonia,27.75,23.34,19.61,19.19
Annual,hold: Total number of holdings,Thousand,Total,Total,Greece,833.59,860.15,723.06,709.5
Annual,hold: Total number of holdings,Thousand,Total,Total,Spain,1079.42,1043.91,989.8,965.0
Annual,hold: Total number of holdings,Thousand,Total,Total,Finland,70.62,68.23,63.87,54.4
Annual,hold: Total number of holdings,Thousand,Total,Total,France,567.14,527.35,516.1,472.21
Annual,hold: Total number of holdings,Thousand,Total,Total,Croatia,:,181.25,233.28,157.44
Annual,hold: Total number of holdings,Thousand,Total,Total,Hungary,714.79,626.32,576.81,491.33
Annual,hold: Total number of holdings,Thousand,Total,Total,Ireland,132.67,128.24,139.89,139.6
Annual,hold: Total number of holdings,Thousand,Total,Total,Iceland,:,:,2.59,:
Annual,hold: Total number of holdings,Thousand,Total,Total,Italy,1728.53,1679.44,1620.88,1010.33
Annual,hold: Total number of holdings,Thousand,Total,Total,Lithuania,252.95,230.27,199.91,171.8
Annual,hold: Total number of holdings,Thousand,Total,Total,Luxembourg,2.45,2.3,2.2,2.08
Annual,hold: Total number of holdings,Thousand,Total,Total,Latvia,128.67,107.75,83.39,81.8
Annual,hold: Total number of holdings,Thousand,Total,Total,Montenegro,:,:,48.87,:
Annual,hold: Total number of holdings,Thousand,Total,Total,Malta,11.07,11.02,12.53,9.36
