Time frequency,Unit of measure,Frequency,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,29.8,21.7
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,12.0,10.2
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,14.0,13.8
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),15.4,14.9
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,18.2,:
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,France,:,13.4
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,16.9,13.9
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,27.4,26.1
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,11.5,14.3
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,23.4,23.3
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,9.5 d,8.7
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,20.0,23.1
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,14.8,15.2
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,25.6,26.2
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,10.9,15.1
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,11.5
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,0.0,20.3
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,21.3,21.7
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,18.9,16.2
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,12.4,18.2
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,14.3 u
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,18.2,17.4
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,19.2,20.4
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,21.1,22.7
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,7.5,5.9
Annual,Percentage,Less than once a month,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,19.3,:
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,39.4,34.0
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,27.6 u,24.4
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,27.8,21.9
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,27.4,31.6
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,32.9,31.1
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,32.5,35.1
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,41.0,40.6
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,31.2,36.8
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,33.7,31.2
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,28.0,25.3
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),30.6,28.2
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,39.9,:
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,France,:,27.0
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,29.5,32.3
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,29.8,28.0
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,36.4,30.9
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,38.6,40.9
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,25.9,19.4
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,39.0,31.8
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,31.9,26.3
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,38.1,29.7
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,30.1,26.1
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,12.9
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,58.8,39.9
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,31.1,33.3
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,27.9,25.2
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,23.4,23.9
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,26.8 u
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,32.7,31.5
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,35.1,32.9
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,33.5,27.6
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,5.4,5.3
Annual,Percentage,Every month,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,23.8,:
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,16.1,19.3
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,20.2 u,24.8
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,40.7,42.1
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,46.5,34.5
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,14.7,22.8
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,14.6,18.9
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,11.8,11.3
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,18.3,21.1
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,23.9,25.1
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,31.6,35.0
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),26.8,27.9
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,17.2,:
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,France,:,27.9
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,42.6,34.4
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,26.3,25.2
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,18.8,21.7
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,25.4,26.8
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,36.4 d,38.3
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,29.3,33.7
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,19.8,23.1
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,21.4,32.8
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,15.7,21.9
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,21.8
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,21.9,16.8
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,30.9,28.4
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,29.5,33.7
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,52.5,42.9
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,44.4
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,28.5,28.7
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,19.8,21.7
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,30.8,29.4
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,84.3,85.3
Annual,Percentage,Never or not in the last 12 months,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,19.2,:
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,29.9,32.2
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,39.7 u,38.3
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,14.6,19.9
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,15.9,13.9
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,36.7,27.5
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,36.3,29.9
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,28.8,30.7
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,20.3,19.7
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,29.8,31.8
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,24.9,24.3
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),25.8,27.7
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,24.3,:
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,France,:,30.3
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,9.5,18.7
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,15.3,18.5
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,33.1,32.6
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,12.3,8.8
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,26.1 d,32.4
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,11.5,11.4
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,32.3,34.3
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,14.4,11.0
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,41.9,35.5
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,52.2
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,19.1,22.8
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,16.1,16.3
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,21.6,22.5
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,10.8,13.8
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,14.1 u
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,20.2,22.2
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,24.1,24.3
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,14.2,19.1
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,2.4,3.2
Annual,Percentage,Every week,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,36.7,:
