Time frequency,Mode of transport,Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Inland waterways,Percentage,Luxembourg,12.9,11.3,12.8,11.0,8.8,10.4,8.3,7.9,6.1,6.1,7.4,8.1,8.1,7.8,7.3
Annual,Inland waterways,Percentage,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Netherlands,13.1,12.0,13.6,13.5,13.6,13.5,13.3,13.0,12.9,12.6,11.9,11.8,11.8,11.9,11.6
Annual,Inland waterways,Percentage,Norway,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Poland,0.2,0.1,0.1,0.1,0.1,0.0 n,0.1,0.0 n,0.0 n,0.0 n,0.1,0.0 n,0.0 n,0.0 n,0.0 n
Annual,Inland waterways,Percentage,Portugal,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Romania,20.9 e,19.7,26.6,20.8,22.4,22.0,21.9,24.1,23.5,21.6,20.9,21.5,22.4,19.8,17.0
Annual,Inland waterways,Percentage,Sweden,: m,: m,: m,: m,: m,: m,: m,: m,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.1,0.1
Annual,Inland waterways,Percentage,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland waterways,Percentage,Slovakia,4.7,4.6,5.6,4.4,4.7,4.6,3.9,3.2,3.7,3.6,3.0,3.5,3.4,3.3,2.6
Annual,Railways,Percentage,Austria,33.3,31.8,32.8,32.8,32.4,31.9,32.9,32.3,31.9,31.5,31.3,30.6,29.5,29.8,30.0
Annual,Railways,Percentage,Belgium,8.2,6.7,7.3,7.4,7.0 e,6.8 e,6.7 e,6.9 e,6.9 e,6.6 e,7.3 be,7.2 e,7.0 e,7.2 e,7.3 e
Annual,Railways,Percentage,Bulgaria,10.3 e,8.3,8.0,8.4,7.3,7.5,8.3,8.7,8.2,8.8,8.5,8.5,9.8,9.4,11.2
Annual,Railways,Percentage,Switzerland,35.3,33.4,33.7,35.1,34.5,36.0,36.0,37.2,37.3,34.6 e,34.6 e,34.1 e,32.4 e,33.4 e,33.4 e
Annual,Railways,Percentage,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Railways,Percentage,Czechia,31.9,30.2,29.8,29.8,30.2,28.0,28.0,26.1,26.3,26.7,27.4,25.9,22.6,22.7,22.0
Annual,Railways,Percentage,Germany,14.6,13.5,14.0,14.4,14.2,13.9,13.9,14.1,15.0,13.6,13.9,13.7,13.0,14.1,14.9
Annual,Railways,Percentage,Denmark,1.4,1.5,1.8,2.0,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.7,1.7,1.4,1.6
Annual,Railways,Percentage,Estonia,10.4,11.2,11.0,10.0,8.1,7.6,5.0,4.5,3.3,3.6,4.0,3.3,2.8,3.1,2.4
Annual,Railways,Percentage,Greece,0.2,0.1,0.1,0.1,0.1,0.0 n,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Railways,Percentage,Spain,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.8
Annual,Railways,Percentage,European Union - 27 countries (from 2020),6.0 e,5.6,5.7,5.9,5.7 e,5.7 e,5.7 e,5.7 e,5.8 e,5.6 e,5.6 e,5.3 e,5.2 e,5.4 e,5.5 e
Annual,Railways,Percentage,Finland,13.1,12.6,12.6,12.1,12.3,12.7,12.4,10.9,11.2,12.0 e,12.7 e,11.8,11.9,12.3,10.8
Annual,Railways,Percentage,France,4.2,3.9,3.4,3.8,3.7,3.6,3.7,4.1,3.9,3.8,3.6,3.5,3.4,3.7,3.7
Annual,Railways,Percentage,Croatia,4.5,3.9,4.0,3.6,3.6,3.1,3.3,3.2,3.0,3.3,3.5,3.5,4.1,3.8,4.1
Annual,Railways,Percentage,Hungary,24.9,23.8,26.8,28.1,29.4,30.3,30.7,29.1,28.3,32.1,26.7,26.0,28.8,26.1,26.3
Annual,Railways,Percentage,Ireland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Railways,Percentage,Italy,2.6,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.8,2.6,2.5,2.3,2.4,2.6,2.7
Annual,Railways,Percentage,Lithuania,64.5,61.2,62.9,63.6,60.4,57.2,58.2,56.4,55.2,56.4,57.2,56.8,54.7,52.8,37.2
Annual,Railways,Percentage,Luxembourg,9.8,8.1,11.5,10.4,7.1,7.2,6.1,7.0,6.5,6.7,8.0,6.8,6.5,6.4,6.1
Annual,Railways,Percentage,Latvia,47.9,48.2,45.5,48.0,46.4,43.1,41.7,42.3,39.2,38.0,39.7,37.4,27.2,25.7,26.0
Annual,Railways,Percentage,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Railways,Percentage,Netherlands,2.0,1.8,1.7,1.9,1.8,1.7,1.7,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.9
Annual,Railways,Percentage,Norway,2.0,2.0,1.8,2.1,2.0,1.9,1.8,1.6,1.6,1.9,1.7,1.6,1.9,2.1,2.1
Annual,Railways,Percentage,Poland,30.5,26.2,26.6,27.2,25.2,24.2,24.1,23.3,22.4,21.8,24.1,21.5,20.3,20.0,20.8
Annual,Railways,Percentage,Portugal,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
Annual,Railways,Percentage,Romania,19.9 e,18.6,23.0,26.9,24.1,23.3,22.9,25.0,24.2,23.8,22.3,20.5,20.2,20.0,21.0
Annual,Railways,Percentage,Sweden,10.3,10.4,10.9,10.3,10.1,9.6,9.0,8.6,8.7,9.2,9.6,9.4,9.7,9.9,10.5
Annual,Railways,Percentage,Slovenia,26.7,24.6,28.3,29.9,28.7,30.5,31.7,30.9,30.0,31.4,31.4,31.4,30.4,29.6,28.8
Annual,Railways,Percentage,Slovakia,40.0,35.5,38.1,37.8,36.2,38.6,38.5,36.3,34.3,32.6,32.3,30.7,28.3,31.8,30.1
Annual,Roads,Percentage,Austria,62.4,63.9,62.6,63.0,63.2,63.6,63.0,64.3,64.4,64.9,65.9,66.3,67.6,67.5,67.6
Annual,Roads,Percentage,Belgium,43.4,46.9,44.7,44.4,44.3 e,45.0 e,44.5 e,45.5 e,46.1 e,45.4 e,45.2 be,45.8 e,47.0 e,46.8 e,45.0 e
Annual,Roads,Percentage,Bulgaria,21.5 e,23.2,23.2,24.9,23.3,25.2,25.0,26.8,26.8,26.8,24.9,18.9,23.9,26.7,29.5
Annual,Roads,Percentage,Switzerland,64.2,66.1,65.8,64.4,65.0,63.5,63.5,62.3,62.2,64.9 e,64.9 e,65.3 e,67.2 e,66.0 e,66.1 e
Annual,Roads,Percentage,Cyprus,5.3,4.1,4.1,3.5,3.4,2.4,2.1,1.8,2.3,2.6,2.7,2.6,2.1,2.1,2.7
Annual,Roads,Percentage,Czechia,67.2,68.9,69.1,69.1,68.7,71.0,71.1,73.0,72.9,72.5,71.8,73.2,76.7,76.6,77.3
Annual,Roads,Percentage,Germany,52.8,54.1,52.8,53.2,52.6,52.4,52.5,53.2,52.9,53.6,53.9,53.9,55.5,54.6,55.2
Annual,Roads,Percentage,Denmark,14.5,14.5,13.9,14.3,14.3,14.4,14.1,13.7,14.2,13.7,13.1,13.2,14.3,14.7,14.8
Annual,Roads,Percentage,Estonia,4.9,3.9,3.6,4.0,4.0,4.2,4.1,4.1,4.4,4.5,4.7,4.5,4.5,4.6,6.4
Annual,Roads,Percentage,Greece,5.6,6.2,5.9,3.8,3.8,3.1,3.8,3.6,3.8,3.6,3.5,3.3,3.0,3.3,3.5
Annual,Roads,Percentage,Spain,16.6,16.9,15.5,14.6,13.6,13.5,13.3,13.8,14.7,14.9,14.7,14.9,15.5,16.7,16.6
Annual,Roads,Percentage,European Union - 27 countries (from 2020),23.9 e,24.6,23.8,22.8,22.0 e,22.5 e,22.4 e,22.4 e,23.0 e,23.3 e,22.8 e,23.1 e,23.9 e,24.5 e,24.9 e
Annual,Roads,Percentage,Finland,35.0,36.1,34.2,31.7,30.5,29.3,27.9,29.3,30.5,31.9 e,30.9 e,32.0,34.0,33.1,37.1
Annual,Roads,Percentage,France,31.7,31.5,31.5,30.6,29.7,29.8,29.2,28.1,28.9,29.7,29.5,29.8,30.4,30.9,30.7
Annual,Roads,Percentage,Croatia,14.4,12.8,12.0,11.4,11.3,11.6,11.6,12.2,11.6,12.1,12.2,11.0,11.5,11.2,11.2
Annual,Roads,Percentage,Hungary,68.3,69.4,64.7,65.0,63.0,62.5,62.7,64.4,65.3,62.1,68.1,67.8,65.2,68.5,69.0
Annual,Roads,Percentage,Ireland,13.3,10.8,10.0,9.2,9.3,8.9,9.6,9.7,10.8,10.7,10.1,10.5,9.7,9.9,9.0
Annual,Roads,Percentage,Italy,20.8,21.6,21.7,18.5,16.8,17.7,16.8,16.6,16.1,16.4,16.4,17.2,17.4,18.2,19.4
Annual,Roads,Percentage,Lithuania,23.8,25.7,23.5,22.7,25.5,28.7,27.3,29.2,29.7,28.2,27.0,27.4,29.9,31.6,43.0
Annual,Roads,Percentage,Luxembourg,76.2,79.5,74.8,77.6,83.3,81.5,84.8,84.0,86.3,86.0,83.2,83.9,83.9,84.2,85.0
Annual,Roads,Percentage,Latvia,9.5,8.3,9.9,9.0,8.8,10.0,9.6,10.7,12.0,13.3,12.6,13.4,21.0,22.3,22.9
Annual,Roads,Percentage,Netherlands,14.6,15.6,14.4,14.3,13.7,14.4,14.2,14.4,14.9,14.2,14.3,14.6,15.2,15.0,14.9
Annual,Roads,Percentage,Norway,10.7,10.1,9.8,11.3,11.2,12.4,11.1,11.2,10.9,10.4,9.8,9.5,10.8,11.7,12.6
Annual,Roads,Percentage,Poland,59.6,64.8,63.5,63.5,66.0,67.4,66.8,67.7,68.2,69.1,65.7,68.2,69.5,69.9,69.0
Annual,Roads,Percentage,Portugal,2.8,2.9,2.4,2.3,1.9,1.9,1.9,1.8,1.9,1.8,1.8,1.7,1.5,1.7,1.7
Annual,Roads,Percentage,Romania,40.4 e,42.1,29.1,28.2,30.1,30.6,30.9,30.1,32.2,33.5,34.0,34.3,35.5,39.3,44.6
Annual,Roads,Percentage,Sweden,22.0,20.9,19.8,19.3,18.1,19.0,20.7,20.6,20.9,21.3,22.2,21.7,22.9,24.2,26.0
Annual,Roads,Percentage,Slovenia,63.0,63.1,60.6,58.2,58.8,57.3,56.5,57.5,58.5,57.1,57.7,57.0,57.6,58.7,59.3
Annual,Roads,Percentage,Slovakia,54.4,59.1,55.3,56.7,58.1,55.8,56.6,59.6,61.1,62.9,63.8,64.9,67.4,64.0,66.3
Annual,Maritime,Percentage,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Maritime,Percentage,Belgium,40.1,38.6,38.8,38.9,38.3 e,38.1 e,38.7 e,37.9 e,37.6 e,38.0 e,40.0 be,39.8 e,39.0 e,38.6 e,40.7 e
Annual,Maritime,Percentage,Bulgaria,51.8 e,53.5,52.4,54.9,55.3,54.3,53.8,50.4,51.1,51.9,54.9,59.1,52.1,51.5,50.4
Annual,Maritime,Percentage,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Maritime,Percentage,Cyprus,94.6,95.9,95.8,96.4,96.5,97.5,97.8,98.1,97.6,97.3,97.2,97.3,97.9,97.9,97.2
Annual,Maritime,Percentage,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Maritime,Percentage,Germany,24.2,24.3,24.7,25.0,25.4,25.9,26.0,25.6,25.4,26.0,26.3,26.2,25.6,25.3,24.4
Annual,Maritime,Percentage,Denmark,83.9,83.9,84.2,83.5,83.8,83.7,84.0,84.3,83.9,84.3,85.0,84.9,83.8,83.8,83.5
Annual,Maritime,Percentage,Estonia,84.4,84.7,85.2,85.8,87.7,88.0,90.6,91.1,92.0,91.7,91.0,91.9,92.4,91.9,90.7
Annual,Maritime,Percentage,Greece,94.1,93.6,93.9,96.0,96.1,96.8,96.1,96.3,96.1,96.2,96.4,96.5,96.9,96.5,96.4
Annual,Maritime,Percentage,Spain,82.6,82.4,83.7,84.6,85.6,85.7,85.9,85.3,84.4,84.3,84.5,84.3,83.8,82.6,82.6
Annual,Maritime,Percentage,European Union - 27 countries (from 2020),67.7 e,67.4,68.0,68.9,69.9 e,69.4 e,69.5 e,69.6 e,68.9 e,68.9 e,69.6 e,69.6 e,69.0 e,68.2 e,67.8 e
Annual,Maritime,Percentage,Finland,51.5,50.9,52.8,55.9,56.8,57.6,59.3,59.3,57.9,55.7 e,56.0 e,55.8,53.7,54.2,51.7
Annual,Maritime,Percentage,France,63.0,63.4,63.9,64.4,65.4,65.4,66.0,66.7,66.1,65.5,66.0,65.8,65.3,64.4,64.7
Annual,Maritime,Percentage,Croatia,79.7,82.0,82.3,83.8,83.7,83.8,83.7,83.0,83.9,83.2,83.1,84.2,83.1,83.8,83.8
Annual,Maritime,Percentage,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Maritime,Percentage,Ireland,86.3,88.8,89.5,90.3,90.2,90.6,89.9,89.7,88.7,88.8,89.4,89.0,89.8,89.5,90.5
Annual,Maritime,Percentage,Italy,76.5,76.2,76.0,79.0,80.6,79.8,80.6,80.7,81.1,81.0,81.1,80.5,80.2,79.0,77.8
Annual,Maritime,Percentage,Lithuania,11.0,12.3,12.6,12.7,13.1,13.0,13.4,13.2,13.9,14.3,14.5,14.5,14.2,14.3,18.6
Annual,Maritime,Percentage,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Maritime,Percentage,Latvia,42.1,43.1,43.9,42.4,44.3,46.4,48.1,46.4,48.2,47.9,47.0,48.4,50.6,50.5,50.0
Annual,Maritime,Percentage,Netherlands,70.3,70.5,70.2,70.2,70.8,70.3,70.7,70.6,70.3,71.4,71.8,71.7,71.1,71.1,71.6
Annual,Maritime,Percentage,Norway,87.3,87.9,88.4,86.6,86.8,85.7,87.1,87.2,87.5,87.7,88.5,88.9,87.3,86.2,85.2
Annual,Maritime,Percentage,Poland,9.2,8.5,9.3,8.6,8.2,7.8,8.5,8.5,8.8,8.6,9.7,9.8,9.8,9.5,9.8
Annual,Maritime,Percentage,Portugal,96.9,96.8,97.3,97.4,97.8,97.8,97.8,97.9,97.8,97.8,97.9,98.0,98.2,98.1,98.1
Annual,Maritime,Percentage,Romania,17.7 e,18.5,19.8,22.6,22.0,22.8,22.9,19.4,18.6,19.6,21.2,22.5,20.7,19.5,16.0
Annual,Maritime,Percentage,Sweden,67.6,68.6,69.1,70.3,71.7,71.3,70.1,70.6,70.2,69.3,68.1,68.7,67.2,65.7,63.3
Annual,Maritime,Percentage,Slovenia,9.9,11.8,10.6,11.5,12.0,11.8,11.4,11.1,11.0,11.1,10.4,11.2,11.7,11.4,11.5
Annual,Maritime,Percentage,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
