Time frequency,Unit of measure,Income and living conditions indicator,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,European Union - 27 countries (from 2020),17.3,17.4,17.5,16.9,16.8,16.5,16.7 b,16.8,16.5,16.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,European Union - 28 countries (2013-2020),17.2,17.3,17.3,16.9,17.1,:,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Finland,12.8,12.4,11.6,11.5,12.0,11.6,12.2,10.8,12.7,12.2
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,France,13.3,13.6,13.6,13.2,13.4,13.6,14.2 b,14.3,15.6 b,15.4
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Croatia,19.4,20.0,19.5,20.0,19.3,18.3,18.3,19.2,18.0,19.3 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Hungary,15.0,14.9,14.5,13.4,12.8,12.3,12.3,12.6,12.1,13.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Ireland,16.8,16.2,16.8,15.6,14.9,13.4 b,12.8 b,12.8,13.4,12.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Iceland,7.9,9.2,8.8,10.1,8.8,9.3,:,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Italy,19.4,19.9,20.6,20.3,20.3,20.1,20.0,20.1,20.1,18.9
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Lithuania,19.1,22.2,21.9,22.9,22.9,20.6,20.9,20.0,20.9,20.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Luxembourg,16.4,15.3,15.8 b,16.4,16.7,17.5,17.4 b,18.1 b,17.3 b,18.8
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Latvia,21.2,22.5,21.8,22.1,23.3,22.9,21.6,23.4,22.5,22.5
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Montenegro,24.1,24.4,24.0,23.6,23.8,24.5,22.6,21.2,20.3,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,North Macedonia,22.1,21.5,21.9,22.2,21.9,21.6,21.8,:,:,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Malta,15.8,16.6,16.5,16.7,16.8,17.1,16.9,16.9,16.7,16.6
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Netherlands,11.6,11.6,12.7 b,13.2,13.3,13.2,13.4,14.4,14.5,13.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Norway,10.9,11.9,12.2,12.3,12.9,12.7,12.7,12.6 b,12.2,11.5 b
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Poland,17.0,17.6,17.3,15.0,14.8,15.4,14.8,14.8,13.7,14.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Portugal,19.5,19.5,19.0,18.3,17.3,17.2,16.2,18.4,16.4,17.0
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Romania,25.1,25.4,25.3,23.6,23.5,23.8,23.4,22.5,21.2,21.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Serbia,25.0,26.7,25.9,25.7,24.3,23.2,21.7,21.2,20.0,:
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Sweden,15.6,16.3,16.2,15.8,16.4,17.1,16.1,15.7,16.0,16.1
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Slovenia,14.5,14.3,13.9,13.3,13.3,12.0,12.4,11.7,12.1,12.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Slovakia,12.6,12.3,12.7,12.4,12.2,11.9,11.4,12.3,13.7,14.3
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,Türkiye,23.0,22.5,22.8,22.2,22.2,22.4,23.0,22.4,22.4,20.7
Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Total,United Kingdom,16.8,16.6,15.9,17.0 b,18.6,:,:,:,:,:
