Time frequency,Species,fishreg,unit,geo\TIME_PERIOD,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
Annual,"Sharks, rays, chimaeras",71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Sharks, rays, chimaeras",71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Sharks, rays, chimaeras",71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71.0,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71.0,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,"Auxis thazard, A. rochei (Frigate and bullet tunas)",71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.0
Annual,Synodontidae (Lizardfishes nei),71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,Scombridae (Mackerels nei),71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,Actinopterygii (Marine fishes nei),71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,"Sparidae (Porgies, seabreams nei)",71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,"Scorpaenidae (Scorpionfishes, redfishes nei)",71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,Decapterus spp (Scads nei),71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,Sardinella spp (Sardinellas nei),71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,Katsuwonus pelamis (Skipjack tuna),71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5670.0,6427.0,1201.0,: m,: m,3479.0,2293.0,8796.0,13290.0,24977.0,19770.0,:,:
Annual,Katsuwonus pelamis (Skipjack tuna),71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5670.0,6427.0,1201.0,: m,: m,3479.0,2293.0,8796.0,13290.0,24977.0,19770.0,:,:
Annual,Katsuwonus pelamis (Skipjack tuna),71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5670.0,6427.0,1201.0,: m,: m,3479.0,2293.0,8796.0,13290.0,24977.0,19770.0,:,:
Annual,Katsuwonus pelamis (Skipjack tuna),71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5670.0,6427.0,1201.0,: m,: m,3479.0,2293.0,8796.0,13290.0,24977.0,19770.0,291.0,8102.0
Annual,Katsuwonus pelamis (Skipjack tuna),71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5670.0,6427.0,1201.0,: m,: m,3479.0,2293.0,8796.0,13290.0,24977.0,19770.0,:,8102.0
Annual,Katsuwonus pelamis (Skipjack tuna),71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5670.0,6427.0,1201.0,: m,: m,3479.0,2293.0,8796.0,13290.0,24977.0,19770.0,:,8102.0
Annual,Katsuwonus pelamis (Skipjack tuna),71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5670.0,6427.0,1201.0,: m,: m,3479.0,2293.0,8796.0,13290.0,24977.0,19770.0,:,8102.0
Annual,Katsuwonus pelamis (Skipjack tuna),71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8796.0,13290.0,24977.0,19770.0,:,8102.0
Annual,Katsuwonus pelamis (Skipjack tuna),71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8796.0,13290.0,24977.0,19770.0,:,8102.0
Annual,Katsuwonus pelamis (Skipjack tuna),71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8796.0,13290.0,24977.0,19770.0,:,8102.0
Annual,Katsuwonus pelamis (Skipjack tuna),71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8796.0,13290.0,24977.0,19770.0,:,8102.0
Annual,"Elasmobranchii (Sharks, rays, skates, etc. nei)",71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Elasmobranchii (Sharks, rays, skates, etc. nei)",71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Elasmobranchii (Sharks, rays, skates, etc. nei)",71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Elasmobranchii (Sharks, rays, skates, etc. nei)",71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Elasmobranchii (Sharks, rays, skates, etc. nei)",71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Elasmobranchii (Sharks, rays, skates, etc. nei)",71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Elasmobranchii (Sharks, rays, skates, etc. nei)",71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1.0,: m,: m,: m,: m,: m,:,:
Annual,"Lutjanidae (Snappers, jobfishes nei)",71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,"Loliginidae, Ommastrephidae (Various squids nei)",71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,"Caranx spp (Jacks, crevalles nei)",71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,Scombroidei (Tuna-like fishes nei),71.0,TLW,RU,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,:
Annual,Thunnus albacares (Yellowfin tuna),71.0,TLW,EEA18,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1506.0,2825.0,467.0,: m,: m,1219.0,322.0,2107.0,4146.0,4769.0,3138.0,:,:
Annual,Thunnus albacares (Yellowfin tuna),71.0,TLW,EEA28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1506.0,2825.0,467.0,: m,: m,1219.0,322.0,2107.0,4146.0,4769.0,3138.0,:,:
Annual,Thunnus albacares (Yellowfin tuna),71.0,TLW,EEA30_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1506.0,2825.0,467.0,: m,: m,1219.0,322.0,2107.0,4146.0,4769.0,3138.0,:,:
Annual,Thunnus albacares (Yellowfin tuna),71.0,TLW,ES,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1506.0,2825.0,467.0,: m,: m,1219.0,322.0,2107.0,4146.0,4769.0,3138.0,34.0,791.0
Annual,Thunnus albacares (Yellowfin tuna),71.0,TLW,EU15,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1506.0,2825.0,467.0,: m,: m,1219.0,322.0,2107.0,4146.0,4769.0,3138.0,:,791.0
Annual,Thunnus albacares (Yellowfin tuna),71.0,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1506.0,2825.0,467.0,: m,: m,1219.0,322.0,2107.0,4146.0,4769.0,3138.0,:,791.0
Annual,Thunnus albacares (Yellowfin tuna),71.0,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,1506.0,2825.0,467.0,: m,: m,1219.0,322.0,2107.0,4146.0,4769.0,3138.0,:,791.0
Annual,Thunnus albacares (Yellowfin tuna),71_NK,TLW,ES,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2107.0,4146.0,4769.0,3138.0,:,791.0
Annual,Thunnus albacares (Yellowfin tuna),71_NK,TLW,EU15,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2107.0,4146.0,4769.0,3138.0,:,791.0
Annual,Thunnus albacares (Yellowfin tuna),71_NK,TLW,EU25,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2107.0,4146.0,4769.0,3138.0,:,791.0
Annual,Thunnus albacares (Yellowfin tuna),71_NK,TLW,EU27_2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2107.0,4146.0,4769.0,3138.0,:,791.0
