Time frequency,Crop production,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Common wheat and spelt,Tonne,Lebanon,:,:,:,:,:,:,:,:,:,:,:,129030.0 e,:,:,:
Annual,Common wheat and spelt,Tonne,Morocco,2102350.0,4230926.0,1068800.0,2529470.0,4338430.0,3243320.0,4169865.0,2743091.0,5036749.0,3705706.0,5667712.0,1856137.3,4891741.0,4910112.9 p,2681651.3 p
Annual,Common wheat and spelt,Tonne,Palestine*,44720.0 e,39430.0 e,39799.0 e,31826.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Common wheat and spelt,Tonne,Tunisia,336200.0,224000.0,267500.0,188000.0,300100.0,151192.0,281200.0,284000.0,180800.0,282100.0,154743.0,114609.5,:,:,:
Annual,Durum wheat,Tonne,Algeria,1568709.0,1772800.0,1528998.5,813811.5,2001000.0,1809100.0,2195800.0,2407118.0,2332369.4,1844333.4,2019939.0,1937600.0,1990900.0,3178000.0,:
Annual,Durum wheat,Tonne,Egypt,8140962.0,8274228.0,7378919.0,7977051.0,8522995.0,7169024.0,8370526.0,8795483.0,9460200.0,9279804.0,9608000.0,9343000.0,8421000.0,:,:
Annual,Durum wheat,Tonne,Lebanon,143700.0,153400.0,116200.0,105700.0,111400.0,:,:,:,:,:,:,:,:,:,:
Annual,Durum wheat,Tonne,Morocco,940730.0,2095500.0,513830.0,1239980.0,2033000.0,1632820.0,1847658.0,1134878.0,1897234.0,1410178.0,2406947.0,874985.7,2199076.0,2431979.3 p,1343651.3 p
Annual,Durum wheat,Tonne,Tunisia,1290600.0,1026600.0,1175200.0,730900.0,1353600.0,670763.0,1321200.0,1239000.0,794500.0,1230900.0,757621.0,811983.0,:,:,:
Annual,Barley,Tonne,Algeria,1032819.0,1235880.0,1186658.0,395921.5,2203400.0,1309000.0,1104208.0,1591715.0,1498638.6,939400.9,1030556.4,919900.0,969700.0,1957300.0,:
Annual,Barley,Tonne,Egypt,198124.0,152896.0,177502.0,149238.0,148951.0,117113.0,122294.0,107597.0,102244.0,101021.0,101000.0,100000.0,98000.0,:,:
Annual,Barley,Tonne,Israel,12063.0,8625.0,8550.0,5500.0,5135.0,4387.0,4979.0,16000.0,15750.0,15000.0,16500.0,13800.0,12060.0,12070.0,:
Annual,Barley,Tonne,Jordan,31792.6 e,18437.6 e,13518.0 e,10328.0 e,17062.0 e,10659.0 e,29285.0 e,32050.0 e,40915.0 e,38873.0,40486.0 e,37900.0,49000.0,47200.0,:
Annual,Barley,Tonne,Lebanon,29000.0,31800.0,33100.0,23600.0,29700.0,:,:,:,:,:,:,48800.0 e,:,:,:
Annual,Barley,Tonne,Morocco,1102133.0,2525648.0,762550.0,1353240.0,3786010.0,2566450.0,2317611.0,1201388.0,2722622.0,1638086.0,3396992.0,619918.6,2466462.0,2919462.1 p,1161182.8 p
Annual,Barley,Tonne,Palestine*,22217.0 e,13895.0 e,14957.0 e,9740.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Barley,Tonne,Tunisia,465200.0,354100.0,535200.0,254000.0,854900.0,236886.0,680900.0,724000.0,289100.0,772500.0,364300.0,361208.5,:,:,:
Annual,Grain maize,Tonne,Algeria,1148.0,2456.0,1644.0,1014.5,574.7,359.0,575.1,1754.8,1244.5,2572.0,2794.1,3700.0,2600.0,5512.5,:
Annual,Grain maize,Tonne,Egypt,7698043.0,6908610.0,6929527.0,7401412.0,7686091.0,7183010.0,6876473.0,8093643.0,7965677.0,8059906.0,8523000.0,8541000.0,9350000.0,:,:
Annual,Grain maize,Tonne,Israel,1537.0,1598.0,1598.0,1950.0,2500.0,2500.0,3500.0,3000.0,4200.0,5200.0,5200.0,6200.0,6200.0,7000.0,:
Annual,Grain maize,Tonne,Jordan,30783.0 e,14451.8 e,17781.0 e,19241.0 e,19754.0 e,29006.0 e,16460.0 e,14387.0 e,14233.0 e,9467.0,26362.0 e,29900.0,37200.0,17400.0,:
Annual,Grain maize,Tonne,Lebanon,900.0,3100.0,3100.0,3600.0,4700.0,:,:,:,:,:,:,2740.0 e,:,:,:
Annual,Grain maize,Tonne,Morocco,50120.0,297380.0,94860.0,120938.0,204498.0,279150.0,221298.0,90221.0,118136.0,97379.0,95000.0,128762.7,122398.7,118400.0 p,:
Annual,Grain maize,Tonne,Palestine*,11159.0 e,16414.0 e,14874.0 e,12481.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Rice,Tonne,Algeria,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rice,Tonne,Egypt,6125311.0,6755003.0,6876832.0,7253373.0,5520482.0,4329503.0,5675027.0,5911086.0,6805377.0,5467392.0,4818000.0,5309000.0,4961000.0,:,:
Annual,Rice,Tonne,Israel,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:
Annual,Rice,Tonne,Lebanon,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,1800.0 e,:,:,:
Annual,Rice,Tonne,Morocco,42840.0,34000.0,33150.0,44520.0,50040.0,50520.0,17843.0,69554.0,37716.0,33051.0,63300.0,53353.8,57697.5,63037.0 p,:
Annual,Rice,Tonne,Palestine*,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Algeria,2156549.9,2180961.0,1506859.0,2171058.0 p,2636057.0,3300311.5,3862193.6,4219475.8,4886538.0,4673515.5,4539576.9,4759700.0,4606400.0,4653700.0,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Egypt,2167430.0,2312792.0,2760464.0,3567050.0,3659284.0,3634217.0,4338431.0,4758040.0,4265178.0,4611000.0,4955000.0,4113000.0,4841000.0,:,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Israel,593886.0,588182.0,658803.0,661521.0,613455.0,544650.0,621106.0,565628.0,590510.0,627734.0,576100.0,597700.0,522400.0,511160.0,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Jordan,172076.9 e,160028.2 e,98866.0 e,139787.0 e,118705.0 e,174931.0 e,216483.0 e,141573.0 e,103224.0 e,204084.0,188326.0 e,273900.0,155600.0,153200.0,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Lebanon,511400.0,398000.0,514600.0,385400.0,425000.0,:,:,:,:,:,:,632000.0 e,:,:,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Morocco,1478540.0,1569120.0,1437220.0,1536560.0,1629380.0,1434147.0,1721402.0,1656891.0,1928606.0,1950981.0,1924430.0,1743616.5,1924871.9,1869149.0 p,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Palestine*,54820.0 e,65534.0 e,62841.0 e,69180.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Potatoes (including early potatoes and seed potatoes),Tonne,Tunisia,310000.0,365000.0,357000.0,370000.0,324000.0,370000.0,367000.0,340000.0,385000.0,390000.0,400000.0,440000.0,:,:,:
Annual,Sugar beet (excluding seed),Tonne,Egypt,3429535.0,3904967.0,5458212.0,5135289.0,5333513.0,7840304.0,7486101.0,9126058.0,10044266.0,11046000.0,11983000.0,11209000.0,10861000.0,:,:
Annual,Sugar beet (excluding seed),Tonne,Israel,:,:,:,:,:,:,:,:,:,31840.0,40700.0,38300.0,36560.0,42650.0,:
Annual,Sugar beet (excluding seed),Tonne,Lebanon,79200.0,35000.0,30900.0,1000.0,1000.0,:,:,:,:,:,:,:,:,:,:
Annual,Sugar beet (excluding seed),Tonne,Morocco,3301540.0,2551690.0,2484030.0,2925703.0,2753370.0,2435910.0,3035143.0,1626670.0,2142221.0,3208617.0,3875600.0,4218922.5,3741437.6,3710514.0 p,:
Annual,Sugar beet (excluding seed),Tonne,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,34000.0,78000.0,76391.0,:,:,:,:
Annual,Oilseeds,Tonne,Jordan,:,:,:,:,:,:,:,:,:,:,:,20.0,10.0,:,:
Annual,Oilseeds,Tonne,Morocco,65180.0,65880.0,83960.0,74680.0,103430.0,109990.0,88971.0,55680.0,58154.0,66242.0,87170.0,66568.7,60525.0,70552.0 p,:
Annual,Oilseeds,Tonne,Palestine*,4.0 e,6.0 e,11.0 e,6.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Oilseeds,Tonne,Tunisia,11440.0,10180.0,8292.0,6912.0,7000.0,:,:,:,:,:,:,:,:,:,:
Annual,"Vegetables, melons and strawberries (excluding  kitchen gardens)",Tonne,Algeria,5926500.0,5929100.0,5524300.0,6068100.0,7291300.0,8640400.0,9569200.0,10402300.0,11868200.0,12297700.0,12469300.0,13082700.0,13020300.0,13657100.0,:
Annual,"Vegetables, melons and strawberries (excluding  kitchen gardens)",Tonne,Egypt,20557598.0,30521468.0,21089169.0,21635127.0,23247400.0,21323882.0,21304496.0,22630160.0,21160295.0,21838000.0,21349000.0,20035000.0,19459000.0,:,:
Annual,"Vegetables, melons and strawberries (excluding  kitchen gardens)",Tonne,Israel,1452811.4,1489667.0,1533912.0,1357962.0,1536131.0,1447048.0,1529437.0,1495805.0,1468282.0,1568282.0,1408600.0,1459500.0,1391680.0,1338900.0,:
Annual,"Vegetables, melons and strawberries (excluding  kitchen gardens)",Tonne,Jordan,1560764.7 e,1445662.5 e,1403917.0 e,1432081.0,1508816.0 e,1615206.0 e,1711819.0 e,1566160.0 e,1742001.0 e,1725992.0,1859108.0 e,2036000.0,1578400.0,1823100.0,:
Annual,"Vegetables, melons and strawberries (excluding  kitchen gardens)",Tonne,Morocco,6272000.0,7252030.0,6877760.0,6913050.0,7331300.0,7491670.0,7548575.0,7685233.0,7954592.0,7759692.0,7673203.6,6467760.7,7268783.1,7768188.0 p,:
Annual,"Vegetables, melons and strawberries (excluding  kitchen gardens)",Tonne,Palestine*,594065.0 e,646016.0 e,645157.0 e,696548.0 e,:,:,280542.0,:,:,:,:,:,:,:,:
Annual,"Vegetables, melons and strawberries (excluding  kitchen gardens)",Tonne,Tunisia,2256000.0,2293000.0,2478000.0,2693000.0,2707000.0,2834000.0,2654000.0,2945000.0,3067000.0,3324000.0,3638300.0,3252412.0,:,:,:
Annual,Apples,Tonne,Algeria,199712.0,283242.0,190009.5,260967.2,267469.1,378636.7,404105.0,397529.0,455937.2,462815.4,451471.7,500800.0,494200.0,487800.0,:
Annual,Apples,Tonne,Egypt,578249.0,570333.0,557944.0,550743.0,508833.0,493119.0,455817.0,541239.0,629613.0,623625.0,696000.0,755000.0,716000.0,:,:
Annual,Apples,Tonne,Israel,140332.0,121644.0,101226.0,97425.0,114650.0,131474.0,119231.0,113374.0,112128.0,77812.8,108000.0,100000.0,113000.0,111000.0,:
Annual,Apples,Tonne,Jordan,45562.7 e,46381.0 e,31523.0 e,34913.0 e,31111.0 e,28770.0 e,39653.0 e,36377.0 e,40635.0 e,39902.0,56570.0 e,55200.0,24500.0,20500.0,:
Annual,Apples,Tonne,Lebanon,114800.0,121500.0,125200.0,133100.0,138100.0,:,:,:,:,:,:,344500.0 e,:,:,:
Annual,Apples,Tonne,Morocco,315310.0,373832.9,426801.7,404438.1,422327.5,445323.9,517589.0,485588.3,583230.4,536198.8,674100.0,687177.7,820547.1,696950.0 p,:
Annual,Apples,Tonne,Palestine*,262.0 e,1063.0 e,1062.0 e,1269.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Apples,Tonne,Tunisia,100000.0,120000.0,101000.0,110000.0,110000.0,126000.0,128000.0,111000.0,120000.0,121500.0,90000.0,126000.0,98300.0,:,:
Annual,Pears,Tonne,Algeria,158193.0,189429.8,139353.3,176957.0,159997.0,234273.6,233146.5,211190.6,240708.8,228114.2,255343.8,211900.0,237000.0,200100.0,:
Annual,Pears,Tonne,Egypt,40498.0,36388.0,50414.0,48908.0,54229.0,44713.0,48817.0,64664.0,58852.0,58344.0,66000.0,70000.0,77000.0,:,:
Annual,Pears,Tonne,Israel,35590.0,31813.0,32637.0,30239.0,29133.0,30935.0,28527.0,29422.0,28000.0,23690.0,27000.0,27000.0,28000.0,26000.0,:
Annual,Pears,Tonne,Jordan,2484.2 e,2564.1 e,3546.0 e,2227.0 e,2773.0 e,2141.0 e,2536.0 e,2688.0 e,2736.0 e,2736.0,4124.0 e,4100.0,2400.0,2300.0,:
Annual,Pears,Tonne,Lebanon,36800.0,35700.0,33500.0,33700.0,35500.0,:,:,:,:,:,:,28600.0 e,:,:,:
Annual,Pears,Tonne,Morocco,41835.0,35355.0,43811.0,38370.0,36843.2,34456.8,36177.0,29903.0,43852.0,39587.0,46000.0,27754.1,34024.8,35202.0 p,:
Annual,Pears,Tonne,Palestine*,0.0 e,137.0 e,187.0 e,183.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Pears,Tonne,Tunisia,53000.0,65000.0,53000.0,75000.0,60000.0,66000.0,61000.0,62000.0,48000.0,17000.0,24500.0,17000.0,19500.0,:,:
Annual,Peaches,Tonne,Algeria,95059.0,117504.0,75174.2,118757.0,147400.0,156889.9,180319.4,177986.0,192202.7,175174.0,177882.0,169400.0,198300.0,190400.0,:
Annual,Peaches,Tonne,Egypt,489651.0,427639.0,425273.0,399416.0,363209.0,273356.0,332487.0,285194.0,281119.0,290001.0,270000.0,328000.0,425000.0,:,:
Annual,Peaches,Tonne,Israel,83961.0,63552.0,65318.0,71272.1,80092.0,65778.0,54216.0,91057.0,70964.0,52138.0,50000.0,57000.0,62000.0,50010.0,:
Annual,Peaches,Tonne,Jordan,12953.3 e,12648.2 e,18982.0 e,20833.0 e,19046.0 e,23153.0 e,16147.0 e,28126.0 e,30709.0 e,32012.0,37289.0 e,64800.0,69400.0,65800.0,:
Annual,Peaches,Tonne,Lebanon,34100.0,37400.0,41300.0,35300.0,30500.0,:,:,:,:,:,:,63300.0 e,:,:,:
Annual,Peaches,Tonne,Morocco,54684.0,71709.0 f,84517.0,73716.0 f,86727.0,85205.0,74771.0,70720.0,76411.0,73802.0,91469.0,95084.5,138559.8,157893.0 p,:
Annual,Peaches,Tonne,Palestine*,42.0 e,1456.0 e,1667.0 e,1577.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Peaches,Tonne,Tunisia,105000.0,110000.0,101000.0,110000.0,118000.0,114000.0,123000.0,128000.0,127000.0,138000.0,138000.0,123000.0,217500.0,:,:
Annual,Apricots,Tonne,Algeria,145096.5,167016.9,116435.6,172409.0,202875.5,198466.7,285897.0,269308.4,319783.6,216941.1,293370.2,256900.0,238100.0,242200.0,:
Annual,Apricots,Tonne,Egypt,105901.0,100799.0,101139.0,106165.0,112977.0,92704.0,96643.0,98772.0,92444.0,97522.0,95000.0,90000.0,96000.0,:,:
Annual,Apricots,Tonne,Israel,16678.0,12954.0,12037.0,10241.0,7677.0,8338.0,7959.0,13379.0,7519.0,7000.0,5500.0,:,:,:,:
Annual,Apricots,Tonne,Jordan,6605.9 e,6815.7 e,4981.0 e,6528.0 e,6037.0 e,6796.0 e,7851.0 e,7992.0 e,8151.0 e,8112.0,15883.0 e,11700.0,18800.0,21400.0,:
Annual,Apricots,Tonne,Lebanon,31800.0,29300.0,32000.0,32000.0,29000.0,:,:,:,:,:,:,39800.0 e,:,:,:
Annual,Apricots,Tonne,Morocco,103677.0,129446.0 f,102680.0 f,112872.0 f,133599.0,134933.0,159124.0,122406.0,100698.0,90274.0,103900.0,71155.6,112538.2,101612.0 p,:
Annual,Apricots,Tonne,Palestine*,128.0 e,1067.0 e,949.0 e,1304.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Apricots,Tonne,Tunisia,26000.0,28000.0,24000.0,26500.0,30000.0,23500.0,30000.0,33500.0,29500.0,29000.0,32500.0,31000.0,30500.0,:,:
Annual,Cherries,Tonne,Algeria,3081.0,5002.8,1681.4,4552.8,5839.2,5072.9,7243.0,7930.3,5983.1,8700.1,8948.7,6900.0,9200.0,8800.0,:
Annual,Cherries,Tonne,Israel,2974.0,2431.0,2218.0,2695.0,2484.0,1294.0,2587.0,4198.0,2400.0,3000.0,2500.0,3500.0,4000.0,3000.0,:
Annual,Cherries,Tonne,Jordan,1626.0 e,1325.0 e,1097.0 e,718.0 e,366.0 e,680.0 e,642.0 e,696.0 e,722.0 e,722.0,915.0 e,1200.0,1000.0,900.0,:
Annual,Cherries,Tonne,Lebanon,29500.0,23400.0,30000.0,28500.0,30800.0,:,:,:,:,:,:,32400.0 e,:,:,:
Annual,Cherries,Tonne,Morocco,8820.0,5533.0,6320.0,6338.0 f,7502.0,8052.0,8210.0,7196.0,15199.0,15524.0,18729.0,8093.0,13405.7,13665.0 p,:
Annual,Cherries,Tonne,Palestine*,739.0,975.0,1119.0,1196.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Plums,Tonne,Algeria,46216.0,65651.0,42630.8,58836.8,74057.0,90228.7,105548.6,105489.6,128785.5,107191.2,117720.8,102700.0,111800.0,111500.0,:
Annual,Plums,Tonne,Egypt,13657.0,14523.0,16706.0,15392.0,13981.0,7376.0,12666.0,15520.0,13616.0,14224.0,14000.0,12000.0,15000.0,:,:
Annual,Plums,Tonne,Israel,34637.0,33922.0,34073.0,25028.5,26993.0,21115.0,21321.0,30703.0,21600.0,23937.0,20500.0,19500.0,24500.0,22700.0,:
Annual,Plums,Tonne,Jordan,4685.8 e,4854.5 e,2944.0 e,3388.0 e,2724.0 e,2291.0 e,3293.0 e,4071.0 e,4508.0 e,4495.0,6573.0 e,7100.0,3100.0,3400.0,:
Annual,Plums,Tonne,Lebanon,25500.0,24800.0,24500.0,21400.0,23800.0,:,:,:,:,:,:,42200.0 e,:,:,:
Annual,Plums,Tonne,Morocco,60638.0,79862.0 f,73845.0,69590.0 f,73674.0,78751.0,64778.0,75223.0,109363.0,92872.0,123200.0,123576.9,179386.9,205222.0 p,:
Annual,Plums,Tonne,Palestine*,432.0 e,8390.0 e,8805.0 e,8667.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Plums,Tonne,Tunisia,15000.0,15500.0,12000.0,11500.0,13000.0,12000.0,12000.0,12000.0,10500.0,13000.0,14500.0,15500.0,13600.0,:,:
Annual,Almonds,Tonne,Algeria,45378.5,53672.5,34109.7,39521.1,47393.1,56973.0,50621.0,66487.6,63545.2,64827.3,76482.1,66100.0,61900.0,57200.0,:
Annual,Almonds,Tonne,Egypt,25063.0,24509.0,25490.0,25728.0,22292.0,20685.0,18222.0,19381.0,20566.0,15789.0,13000.0,12000.0,3000.0,:,:
Annual,Almonds,Tonne,Israel,2658.0,2649.0,2826.0 b,3276.0,11762.0,7806.0,6667.0,9450.0,8984.0,6700.0,6800.0,8500.0,8900.0,8500.0,:
Annual,Almonds,Tonne,Jordan,2391.3 e,3144.3 e,1341.0 e,1344.0 e,1003.0,2419.0 e,1892.0 e,1902.0 e,2143.0 e,2143.0,3229.0 e,3500.0,1800.0,1700.0,:
Annual,Almonds,Tonne,Lebanon,28300.0,28000.0,29400.0,32500.0,34300.0,:,:,:,:,:,:,25900.0 e,:,:,:
Annual,Almonds,Tonne,Morocco,53967.0,58831.0,43575.0,71401.0,94878.0,87379.0,101382.0,100203.0,93310.0,101026.0,97722.0,112680.5,116923.5,117270.0 p,:
Annual,Almonds,Tonne,Palestine*,857.8 e,4862.0 e,5257.0 e,6233.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Almonds,Tonne,Tunisia,43000.0,56000.0,58000.0,51500.0,60000.0,52000.0,61000.0,70000.0,52000.0,66700.0,70500.0,61000.0,67000.0,:,:
Annual,Figs,Tonne,Algeria,69799.0,91927.0,63883.0,78735.0,83800.6,123763.0,120187.0,110058.0,117100.0,128620.0,139137.3,120300.0,128700.0,109200.0,:
Annual,Figs,Tonne,Egypt,192253.0,245514.0,262307.0,304110.0,286682.0,184972.0,165483.0,171026.0,176595.0,176105.0,172000.0,184000.0,194000.0,:,:
Annual,Figs,Tonne,Israel,1401.0,1595.0,1794.0,2172.0,4355.0,4441.0,5165.0,1813.0,2725.0,2338.0,2350.0,2400.0,2390.0,2410.0,:
Annual,Figs,Tonne,Jordan,3370.6 e,3481.3 e,996.0 e,670.0 e,857.0,953.0 e,829.0 e,888.0 e,927.0 e,927.0,1018.0 e,1000.0,600.0,600.0,:
Annual,Figs,Tonne,Lebanon,6900.0,5800.0,4900.0,5200.0,5900.0,:,:,:,:,:,:,2100.0 e,:,:,:
Annual,Figs,Tonne,Morocco,82621.0,87202.0 f,61606.0,69723.0,12903.0,109936.0,114770.0,102695.0,112537.0,126554.0,150111.0,59881.2,137933.8,128380.0 p,:
Annual,Figs,Tonne,Palestine*,334.0 e,6639.0 e,5213.0 e,6518.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Figs,Tonne,Tunisia,23000.0,25000.0,22000.0,25000.0,28000.0,26000.0,26000.0,25000.0,23000.0,27000.0,30000.0,15300.0,25800.0,:,:
Annual,Strawberries,Tonne,Egypt,157379.0,262432.0,174414.0,200272.0,242776.0,338432.0,240284.0,242297.0,262432.0,283471.0,435000.0,379000.0,319000.0,:,:
Annual,Strawberries,Tonne,Israel,17278.0,17783.0,19528.0,26885.0,23591.0,22130.0,20633.0,24176.0,25568.0,26939.0,22100.0,24000.0,22400.0,20790.0,:
Annual,Strawberries,Tonne,Jordan,:,:,:,:,:,:,:,:,:,:,:,8400.0,3000.0,1100.0,:
Annual,Strawberries,Tonne,Lebanon,3300.0,2700.0,2600.0,2800.0,3000.0,:,:,:,:,:,:,3200.0 e,:,:,:
Annual,Strawberries,Tonne,Morocco,118600.0,112000.0,105000.0,130000.0,117300.0,140600.0,110716.0,139683.0,145233.0,137388.0,141100.0,136856.0,161793.4,143440.0 p,:
Annual,Strawberries,Tonne,Palestine*,6021.0 e,5259.0 e,:,3150.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Strawberries,Tonne,Tunisia,8940.0,7400.0,7630.0,8410.0,9200.0,11350.0,:,:,:,:,:,:,:,:,:
Annual,Citrus fruits,Tonne,Algeria,627406.0,680345.0,689467.0,697366.5,844495.0,788111.0,1106750.0,1087832.0,1204851.0,1271003.0,1341754.0,1203200.0,1344200.0,1477400.0,:
Annual,Citrus fruits,Tonne,Egypt,3030244.0,3211709.0,3134179.0,3233458.0,3510858.0,3522953.0,3730685.0,3980151.0,4098590.0,4402180.0,4647000.0,4273000.0,4453000.0,:,:
Annual,Citrus fruits,Tonne,Israel,652424.0,585968.0,647974.0,541536.0,592118.0,563532.0,476701.0,671750.0,586389.2,574290.5,617217.0,534400.0,584080.0,497200.0,:
Annual,Citrus fruits,Tonne,Jordan,136282.0 e,139242.0 e,90413.0 e,91708.9 e,105204.6,118632.0 e,107569.0 e,111707.0 e,98720.0 e,95215.0,127144.0 e,125300.0,108400.0,116100.0,:
Annual,Citrus fruits,Tonne,Lebanon,392000.0,374200.0,392500.0,343400.0,346400.0,:,:,:,:,:,:,333800.0 e,:,:,:
Annual,Citrus fruits,Tonne,Morocco,1230810.0,1630404.0,1253629.0,1245770.4,1735074.0,1602825.8,1708021.6,1872558.5,1462980.0,2226820.1,1896799.0,2034895.0,2362500.0,2275400.5 p,2619138.0 p
Annual,Citrus fruits,Tonne,Palestine*,61692.0 e,66531.0 e,58238.0 e,65187.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Citrus fruits,Tonne,Tunisia,243000.0,262850.0,246730.0,297600.0,296900.0,307900.0,352000.0,360000.0,330000.0,355000.0,400000.0,380000.0,560000.0,:,:
Annual,Vineyards,Tonne,Algeria,334021.0,398018.0,244999.0,401991.5,492525.2,560562.0,402592.0,543169.0,570840.0,518035.0,568069.0,571300.0,566500.0,503000.0,:
Annual,Vineyards,Tonne,Egypt,1391749.0,1431966.0,1485014.0,1531418.0,1370241.0,1360251.0,1320801.0,1378815.0,1434666.0,1596169.0,1687000.0,1691000.0,1734000.0,:,:
Annual,Vineyards,Tonne,Israel,125654.0,125439.0,112851.0,140937.0,140755.0,144275.0,138176.0,150190.0,143440.0,125600.0,106100.0,117500.0,120000.0,111000.0,:
Annual,Vineyards,Tonne,Jordan,34452.4 e,32183.9 e,27604.0 e,26370.0 e,34475.0 e,29683.0 e,38371.0 e,35668.0 e,35160.0 e,34571.0,62265.0 e,62300.0,53500.0,59800.0,:
Annual,Vineyards,Tonne,Lebanon,110600.0,112300.0,118900.0,105900.0,108000.0,:,:,:,:,:,:,118800.0 e,:,:,:
Annual,Vineyards,Tonne,Morocco,207566.0,240254.0,198856.0,219316.0,211601.0,261551.0,292814.0,277112.0,345195.0,358961.0,418366.0,364865.0,378128.1,451158.0 p,:
Annual,Vineyards,Tonne,Palestine*,66244.0 e,52487.0 e,64770.0 e,55164.0 e,:,:,:,:,:,:,:,:,:,:,:
Annual,Vineyards,Tonne,Tunisia,122000.0,132700.0,95000.0,122000.0,133000.0,129000.0,146671.0,151000.0,168000.0,174500.0,183800.0,167000.0,182500.0,:,:
Annual,Olive trees,Tonne,Algeria,316489.0,264733.0,208952.0,254067.0,475182.0,311252.0,610775.5,393840.0,578740.0,482860.0,653894.0,696400.0,684500.0,860800.0,:
