Time frequency,Nomenclature for the analysis and comparison of scientific programmes and budgets (NABS 2007),Unit of measure,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Agriculture,Euro per inhabitant,Malta,0.4,1.2,0.7,0.2,1.1,1.2,0.9,1.0,1.0,1.3,1.1,1.6,0.6,0.6,2.3,3.0,1.6,2.5,2.5,1.3
Annual,Agriculture,Euro per inhabitant,Netherlands,12.8,13.2,12.8,12.3,14.5,10.0,10.6,9.8,8.9,8.9,9.9,5.9,6.2,6.1,7.2,8.2,12.6,12.6,20.7,24.70 p
Annual,Agriculture,Euro per inhabitant,Norway,29.7,31.8,34.3,36.0,34.8,36.2,39.0,41.3,43.5,47.6,50.4,53.3,50.1,64.9,49.4,48.2,48.9,48.8,49.1,45.1
Annual,Agriculture,Euro per inhabitant,Poland,0.1,0.2,0.2,0.5,0.6,:,:,:,1.70 b,1.8,1.4,1.6,1.4,1.5,1.7,2.6,3.8,0.1,0.1,0.20 p
Annual,Agriculture,Euro per inhabitant,Portugal,1.6,1.8,1.7,2.3,2.6,3.2,3.0,2.5,0.9,1.6,1.7,1.8,1.8,1.7,1.8,1.7,1.7,1.9,2.0,1.90 p
Annual,Agriculture,Euro per inhabitant,Romania,0.3,0.3,1.4,1.4,2.4,1.4,2.9,1.9,1.5,0.70 b,0.8,1.2,1.2,1.1,0.7,1.1,1.0,1.2,0.9,0.9
Annual,Agriculture,Euro per inhabitant,Serbia,:,:,:,:,:,:,:,:,:,1.5,1.6,2.0,1.6,1.8,1.9,2.2,2.6,2.9,3.3,3.8
Annual,Agriculture,Euro per inhabitant,Russia,:,:,:,0.3,0.4,0.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Agriculture,Euro per inhabitant,Sweden,7.8,6.2,6.6,4.3,4.7,4.40 d,5.10 e,5.50 e,6.10 e,5.50 e,5.60 e,4.80 e,5.30 e,4.80 e,4.20 e,4.50 e,4.80 e,7.70 e,7.50 e,6.60 be
Annual,Agriculture,Euro per inhabitant,Slovenia,1.9,2.7,2.0,3.7,3.8,4.0,4.0,4.5,3.6,3.4,3.3,2.9,3.4,4.4,6.0,4.8,6.0,6.5,10.1,12.9
Annual,Agriculture,Euro per inhabitant,Slovakia,1.9,2.3,2.0,1.9,2.0,2.1,2.5,3.3,1.8,2.2,1.8,1.9,1.8,2.3,2.1,2.9,2.9,6.5,3.4,1.60 p
Annual,Agriculture,Euro per inhabitant,Türkiye,:,:,:,:,0.6,0.9,0.8,0.9,0.8,0.7,0.6,1.1,0.9,0.8,0.6,0.5,0.5,0.4,1.1,1.20 p
Annual,Agriculture,Euro per inhabitant,United Kingdom,6.9,6.6,6.9,6.0,5.1,6.1,5.7,6.5,7.4,7.4,6.5,7.4,6.9,7.2,6.3,6.0,:,:,:,:
Annual,Agriculture,Euro per inhabitant,United States,6.8,7.2,7.1,5.6,5.2,6.10 b,6.4,5.1,5.9,5.1,5.8,7.1,7.6,7.2,6.9,8.3,8.1,8.2,11.1,10.40 p
Annual,Agriculture,Million euro,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,0.727,:
Annual,Agriculture,Million euro,Austria,34.572 d,30.536 d,32.028 d,37.248 d,40.021 d,37.747 d,39.372 d,41.121 d,38.554 d,45.013 d,34.433 d,32.304 d,32.13,39.613 d,38.483 d,36.059 d,39.288 d,50.999 d,61.946 d,55.868 p
Annual,Agriculture,Million euro,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,2.241,0.0,0.0,0.0,0.0,0.0,1.728,1.763 p,:,:
Annual,Agriculture,Million euro,Belgium,32.562,23.847,24.965,29.292,30.097,31.742,32.205,37.425,39.496,34.822,38.953,37.268,37.101,36.742,64.21,57.014,58.547,78.685,71.732,80.554 p
Annual,Agriculture,Million euro,Bulgaria,:,:,:,13.025,24.964,23.011,13.869,14.747,16.634,20.47,17.582,17.294,15.713,21.095,21.484,24.801,25.422,29.034,36.199,40.232
Annual,Agriculture,Million euro,Switzerland,47.791,:,48.981,:,47.932,:,59.537,:,74.801,:,105.572,125.825,:,124.452 b,131.904,141.622,150.331,198.276,211.928,203.962 p
Annual,Agriculture,Million euro,Cyprus,10.646,10.32,9.926,11.043,9.494,9.97,9.633,9.663,9.037,7.015,6.01,5.933,5.507,5.75,5.947,6.245,7.077,7.746,9.057,6.845
Annual,Agriculture,Million euro,Czechia,24.608,28.801,33.389,36.979,43.407,45.258,44.694,46.686,40.67,39.215,40.683,42.105,41.07,46.571,48.338,59.655,58.972,62.694,63.597,64.251 p
Annual,Agriculture,Million euro,Germany,332.270 d,310.220 d,397.186 d,489.177 d,559.813 d,662.900 d,770.700 d,743.400 d,691.200 d,719.100 d,728.180 d,812.920 d,824.67,881.19,916.74,917.46,1028.53,1121.618,1112.357,1075.779 p
Annual,Agriculture,Million euro,Denmark,79.114,82.745,93.885,91.389,74.96,74.481,72.59,80.41,68.541,91.634,69.07,93.435,96.572,76.950 e,87.426 e,101.753 e,90.486,139.102,160.157,95.398
Annual,Agriculture,Million euro,Euro area - 19 countries  (2015-2022),1880.846 e,2013.964 e,2127.860 e,2465.301 e,2620.320 e,2491.606 e,2549.068 e,2577.795 e,2177.433 e,2225.102 e,2255.395 e,2299.576,2348.071 e,2439.429 e,2541.578 e,2559.430 e,2766.210 e,2952.79,3185.148,3234.984 p
Annual,Agriculture,Million euro,Euro area – 20 countries (from 2023),1883.444 e,2016.688 e,2130.694 e,2468.271 e,2623.516 e,2493.884 e,2551.572 e,2581.090 e,2179.635 e,2225.962 e,2261.861 e,2304.139,2356.488 e,2450.257 e,2549.581 e,2570.832 e,2777.050 e,2958.584,3196.642,3247.069 p
Annual,Agriculture,Million euro,Estonia,5.317 e,6.097 e,6.896 e,7.439 e,7.407 e,7.286 e,8.191 e,12.214 e,16.009 e,14.585 e,9.151 e,8.6,6.5,8.8,5.4,6.86,9.96,10.147,13.291,13.832
Annual,Agriculture,Million euro,Greece,27.99,34.0,41.1,42.534,38.020 b,31.09,28.93,31.43,27.45,28.13,29.61,30.03,32.98,18.73,32.0,56.71,43.65,51.059,51.931,44.760 bp
Annual,Agriculture,Million euro,Spain,354.928,454.151,585.795,711.502,717.838,664.078,585.967,548.888,388.166,375.13,366.294,401.797,401.443,397.853,434.049,449.018,472.57,499.703,519.075,507.456 p
Annual,Agriculture,Million euro,European Union - 27 countries (from 2020),2131.194 e,2267.574 e,2411.838 e,2734.421 e,2923.589 e,2772.707 e,2855.671 e,2872.386 e,2479.395 e,2569.074 e,2529.878 e,2602.461 e,2670.864 e,2755.758 e,2864.634 e,2960.633 e,3217.364 e,3337.497 e,3576.332 e,3559.321 e
Annual,Agriculture,Million euro,Finland,92.06,95.397,97.934,101.138,98.45,100.635,99.51,96.999,99.243,96.568,94.0,96.65,76.28,72.79,56.8,57.1,60.2,69.912,69.471,69.747 p
Annual,Agriculture,Million euro,France,340.500 d,362.840 d,220.578 d,236.989 d,269.000 d,289.300 d,312.100 d,368.000 d,287.691 d,306.515 d,353.152 d,391.358 d,402.239 e,458.966 e,397.093 e,362.225 e,369.530 e,354.849,429.84,492.499
Annual,Agriculture,Million euro,Croatia,:,:,:,:,3.198,2.271,2.516,3.49,2.323,0.943,6.497,4.55,8.418,10.828,8.004,11.402,10.84,5.794,11.494,12.085 p
Annual,Agriculture,Million euro,Hungary,:,55.018,46.859,36.433 e,42.284,36.861,18.76,9.141,19.113,54.017 d,15.97,16.863,31.968,35.698,35.747,38.753,51.613,41.962,18.051,18.469 p
Annual,Agriculture,Million euro,Ireland,71.8,90.4,80.7,101.3,103.9,92.2,85.2,93.3,91.1,90.1,90.2,91.0,95.4,98.4,109.6,96.4,92.9,96.358,94.433,96.656
Annual,Agriculture,Million euro,Iceland,17.829,22.096,21.97,23.374,19.6,15.365,16.122,20.698,22.373,5.287,5.211,5.816,7.214,10.574,8.135,8.284,7.803,8.969,10.232,9.771
Annual,Agriculture,Million euro,Italy,:,326.03,364.53,433.3,440.706,335.3,334.4,311.0,268.4,285.7,268.8,243.8,274.8,262.025,297.752,307.117,296.99,301.52,308.597,270.907 p
Annual,Agriculture,Million euro,Japan,885.466 d,870.311 d,828.571 d,800.167 d,863.136 d,1035.860 d,1076.024 d,1025.361 d,1028.022 d,767.762 d,753.417 d,770.069 d,1099.638 bd,1132.642 bd,1460.540 dp,1978.247 dp,1972.504 dp,1923.066 dp,2206.166 bd,2034.595
Annual,Agriculture,Million euro,South Korea,352.519,398.820 b,475.646,439.075,392.363 be,443.076 e,484.301 e,478.757 e,608.258,635.658,670.278,782.225,839.781,846.479,799.336,808.749,834.158,944.304,991.241,:
Annual,Agriculture,Million euro,Lithuania,12.595,12.951,6.517,6.872 b,8.569,7.053,5.494,6.2,6.019,6.658,7.183,7.697,7.708,8.223,8.59,8.878,10.185,9.169,7.021,8.493 p
Annual,Agriculture,Million euro,Luxembourg,0.034,0.002,0.056,0.031,0.051,0.036,0.588,0.64,0.497,0.295,0.255,0.147,0.138,0.222,0.143,0.203,0.688,0.561,0.561,0.591 p
Annual,Agriculture,Million euro,Latvia,:,1.867,8.618,9.427,12.38,6.093,4.515,2.69,4.876,5.28,6.9,8.7,11.0,6.1,7.2,11.7,10.9,11.069,10.28,15.816
Annual,Agriculture,Million euro,Malta,0.151,0.498,0.29,0.099,0.468,0.503,0.375,0.395,0.401,0.528,0.468,0.709,0.281,0.267,1.116,1.492,0.849,1.277,1.289,0.706
Annual,Agriculture,Million euro,Netherlands,208.529,215.979,208.375,202.019,237.257,164.939,175.504,162.847,148.167,149.466,167.262,99.884,104.84,104.247,123.981,141.561,219.017,219.594,364.1,439.322 p
Annual,Agriculture,Million euro,Norway,136.074,146.382,159.31,168.552,164.95,173.79,189.261,203.39,217.134,240.689,257.561,275.372,261.268,341.01,261.693,256.743,262.422,263.357,266.302,247.657
Annual,Agriculture,Million euro,Poland,2.783,9.471,5.955,19.029,21.383,:,:,:,66.552 b,69.946,55.111,59.033,53.149,56.26,65.001,97.31,145.015,4.336,5.312,6.982 p
Annual,Agriculture,Million euro,Portugal,16.48,18.83,17.77,24.2,27.78,33.43,31.41,26.12,9.93,17.12,17.67,18.43,18.56,17.823,18.774,17.674,17.169,19.391,20.295,19.424 p
Annual,Agriculture,Million euro,Romania,7.437,7.475,29.015,29.743,50.016,27.737,59.518,38.822,30.005,14.573 b,16.244,22.968,24.055,20.662,14.267,21.87,19.65,22.15,17.685,17.139
Annual,Agriculture,Million euro,Serbia,:,:,:,:,:,:,:,:,:,10.681,11.367,14.443,11.561,12.35,13.457,15.417,17.706,19.685,22.316,24.942
Annual,Agriculture,Million euro,Russia,:,:,:,43.206,56.869,104.19,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Agriculture,Million euro,Sweden,69.923,56.129,59.485,39.567,43.057,40.503 d,47.226 e,51.583 e,58.126 e,52.955 e,53.716 e,46.589 e,51.848 e,48.267 e,42.791 e,45.658 e,49.156 e,79.635 e,78.690 e,69.783 be
Annual,Agriculture,Million euro,Slovenia,3.802,5.372,3.919,7.467,7.679,8.068,8.174,9.159,7.497,6.968,6.759,5.97,6.919,9.193,12.398,9.982,12.522,13.638,21.348,27.249
Annual,Agriculture,Million euro,Slovakia,10.244,12.435,10.832,10.322,10.703,11.462,13.525,17.827,9.747,12.017,9.714,10.561,9.575,12.495,11.298,15.727,15.639,35.495,18.524,8.479 p
Annual,Agriculture,Million euro,Türkiye,:,:,:,:,39.459,64.838,57.253,62.674,57.709,50.45,44.1,84.401,71.064,66.127,52.046,44.393,41.51,31.043,92.75,104.023 p
Annual,Agriculture,Million euro,United Kingdom,409.901,398.947,416.166,364.314,315.961,379.167,357.892,412.029,466.765,475.921,421.04,482.227,448.81,472.225,416.978,399.066,:,:,:,:
Annual,Agriculture,Million euro,United States,1982.394,2126.678,2126.633,1696.534,1585.532,1884.858 b,1982.349,1588.362,1857.098,1626.384,1838.163,2289.32,2473.575,2361.689,2284.505,2756.588,2679.916,2724.275,3708.26,3475.686 p
