root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
0,Money & Markets,Number of accounts linked to CPA categories,Number of loans and advances to customers linked to CPA categories,3,16
0,Environment & Natural Resources and Production,Number of dairy cows,Number of bovine animals,10,6
0,Environment & Natural Resources and Production,Number of dairy cows,Number of sheep,10,22
0,Environment & Natural Resources and Production,Number of dairy cows,Number of pigs,10,18
0,Environment & Natural Resources and Production,Number of bovine animals,Number of sheep,6,22
0,Environment & Natural Resources and Production,Number of bovine animals,Number of pigs,6,18
0,Environment & Natural Resources and Production,Number of sheep,Number of pigs,22,18
100,Learning & Education,"At least upper secondary educational attainment, age group 25-64 by sex",At most lower secondary educational attainment by age,101,102
100,Learning & Education,"At least upper secondary educational attainment, age group 20-24 by sex",At most lower secondary educational attainment by age,101,102
1000,Health & Safety,Perception of women as victims/non-victims of intimate partner violence by commonness of this violence against women,Perception of ever-working women as victims/non-victims of sexual harassment at work by commonness of harassment,1005,1003
1017,Transports,Persons employed in main airports by sex,Persons killed in road accidents by type of road,1026,1032
1017,Transports,Persons employed in aviation and airport enterprises by sex,Persons killed in road accidents by type of road,1026,1032
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons working as creative and performing artists, authors, journalists and linguists",1026,1057
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,1026,1025
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization",1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold",1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18-64),1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect),1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons having experienced housing difficulties in their life by sex and group of country of birth,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons having experienced housing difficulties in their life by sex and group of current country of citizenship,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons having overcome housing difficulties experienced in their life by sex and reason,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years),1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons living in households with very low work intensity by NUTS regions (population aged 0 to 64 years),1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - EU strategy,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years),1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons with loans for property purposes by risk of poverty threshold,1026,1055
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons with loans for transport purposes by risk of poverty threshold,1026,1055
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons with loans for education purposes by risk of poverty threshold,1026,1055
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons with loans to cover daily living expenses by risk of poverty threshold,1026,1055
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold",1026,1055
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons owning real estate other than main residence by risk of poverty threshold,1026,1035
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons owning real estate other than main residence by income quantile,1026,1035
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion - EU2030 target,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion by age and sex,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion by tenure status - EU strategy,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion by tenure status,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion by NUTS regions,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion by degree of urbanisation,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons feeling left out from society by sex, age and level of disability (activity limitation)",1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons who receive a pension, by type of pension (%)",1026,1050
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons who reduced their working hours in a move towards retirement (%),1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1026,1041
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons subject to immigration law enforcement - per thousand persons,1026,1042
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of poverty or social exclusion,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons at risk of monetary poverty after social transfers by citizenship,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,"Persons living in households with very low work intensity, by age group",1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons outside the labour force due to caring responsibilities by sex,1026,1017
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons employed part-time - Total,1026,1027
1017,"People, Work & Living Conditions",Persons employed in circular economy sectors,Persons subject of asylum applications pending at the end of the month - monthly data,1026,1041
1017,Health & Safety,Persons brought before criminal courts by legal status of the court process,Persons involved in trafficking in human beings by legal status and sex,1019,1031
1017,Health & Safety,Persons brought before criminal courts by legal status of the court process,Persons killed in road accidents,1019,1032
1017,Health & Safety,Persons brought before criminal courts by legal status of the court process,Persons reporting a road traffic accident,1019,1017
1017,Health & Safety,Persons brought before criminal courts by legal status of the court process,"Persons reporting an accident at work by sex, age and professional status",1019,1017
1017,Health & Safety,Persons involved in trafficking in human beings by legal status and sex,Persons killed in road accidents,1031,1032
1017,Health & Safety,Persons involved in trafficking in human beings by legal status and sex,Persons reporting a road traffic accident,1031,1017
1017,Health & Safety,Persons involved in trafficking in human beings by legal status and sex,"Persons reporting an accident at work by sex, age and professional status",1031,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,1057,1025
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization",1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold",1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18-64),1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect),1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons having experienced housing difficulties in their life by sex and group of country of birth,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons having experienced housing difficulties in their life by sex and group of current country of citizenship,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons having overcome housing difficulties experienced in their life by sex and reason,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years),1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons living in households with very low work intensity by NUTS regions (population aged 0 to 64 years),1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - EU strategy,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years),1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons with loans for property purposes by risk of poverty threshold,1057,1055
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons with loans for transport purposes by risk of poverty threshold,1057,1055
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons with loans for education purposes by risk of poverty threshold,1057,1055
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons with loans to cover daily living expenses by risk of poverty threshold,1057,1055
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold",1057,1055
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons owning real estate other than main residence by risk of poverty threshold,1057,1035
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons owning real estate other than main residence by income quantile,1057,1035
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion - EU2030 target,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion by age and sex,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion by tenure status - EU strategy,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion by tenure status,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion by NUTS regions,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion by degree of urbanisation,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons feeling left out from society by sex, age and level of disability (activity limitation)",1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons who receive a pension, by type of pension (%)",1057,1050
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons who reduced their working hours in a move towards retirement (%),1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1057,1041
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons subject to immigration law enforcement - per thousand persons,1057,1042
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of poverty or social exclusion,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons at risk of monetary poverty after social transfers by citizenship,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists","Persons living in households with very low work intensity, by age group",1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons outside the labour force due to caring responsibilities by sex,1057,1017
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons employed part-time - Total,1057,1027
1017,"People, Work & Living Conditions","Persons working as creative and performing artists, authors, journalists and linguists",Persons subject of asylum applications pending at the end of the month - monthly data,1057,1041
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons being happy in the last 4 weeks by sex, age, educational attainment and frequency",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons not participating in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and reasons",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons practicing artistic activities by sex, age, educational attainment and frequency",1039,1038
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons having someone to ask for help by sex, age and educational attainment",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons having someone to discuss personal matters by sex, age and educational attainment",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons not reading books in the last 12 months by sex, age, level of disability (activity limitation) and reasons",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age, level of disability (activity limitation) and activity type",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,"Persons not participating in active citizenship by sex, age and level of disability (activity limitation)",1039,1017
1017,Living Well,Persons reading newspapers in the last 12 months by sex,Persons participating in tourism for personal purposes - number of tourists,1039,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization",1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold",1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18-64),1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect),1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons having experienced housing difficulties in their life by sex and group of country of birth,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons having experienced housing difficulties in their life by sex and group of current country of citizenship,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons having overcome housing difficulties experienced in their life by sex and reason,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years),1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons living in households with very low work intensity by NUTS regions (population aged 0 to 64 years),1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - EU strategy,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years),1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons with loans for property purposes by risk of poverty threshold,1025,1055
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons with loans for transport purposes by risk of poverty threshold,1025,1055
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons with loans for education purposes by risk of poverty threshold,1025,1055
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons with loans to cover daily living expenses by risk of poverty threshold,1025,1055
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold",1025,1055
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons owning real estate other than main residence by risk of poverty threshold,1025,1035
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons owning real estate other than main residence by income quantile,1025,1035
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion - EU2030 target,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion by age and sex,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion by tenure status - EU strategy,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion by tenure status,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion by NUTS regions,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion by degree of urbanisation,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons feeling left out from society by sex, age and level of disability (activity limitation)",1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons who receive a pension, by type of pension (%)",1025,1050
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons who reduced their working hours in a move towards retirement (%),1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1025,1041
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons subject to immigration law enforcement - per thousand persons,1025,1042
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of poverty or social exclusion,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons at risk of monetary poverty after social transfers by citizenship,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"Persons living in households with very low work intensity, by age group",1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons outside the labour force due to caring responsibilities by sex,1025,1017
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons employed part-time - Total,1025,1027
1017,"People, Work & Living Conditions",Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,Persons subject of asylum applications pending at the end of the month - monthly data,1025,1041
1017,Health & Safety,Persons killed in road accidents,Persons reporting a road traffic accident,1032,1017
1017,Health & Safety,Persons killed in road accidents,"Persons reporting an accident at work by sex, age and professional status",1032,1017
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons with loans for property purposes by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons with loans for transport purposes by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons with loans for education purposes by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons with loans to cover daily living expenses by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level","Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold",1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons owning real estate other than main residence by risk of poverty threshold,1017,1035
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons owning real estate other than main residence by income quantile,1017,1035
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level","Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons subject to immigration law enforcement - per thousand persons,1017,1042
