measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
Living quarters by type of housing,"People, Work & Living Conditions","People, Work & Living Conditions",True,1034,"People, Work & Living Conditions",1.0,1,1,correct
Occupants by type of housing,"People, Work & Living Conditions","People, Work & Living Conditions",True,1244,"People, Work & Living Conditions",1.0,1,1,correct
Occupied conventional dwellings by tenure status and amenities,"People, Work & Living Conditions","People, Work & Living Conditions",True,1245,"People, Work & Living Conditions",1.0,5,1,correct
"Occupied conventional dwellings by households, by number of rooms","People, Work & Living Conditions","People, Work & Living Conditions",True,1245,"People, Work & Living Conditions",1.0,5,1,correct
Occupied conventional dwellings by tenure status and period of construction,"People, Work & Living Conditions","People, Work & Living Conditions",True,1245,"People, Work & Living Conditions",1.0,5,1,correct
Family nuclei by number of children,"People, Work & Living Conditions","People, Work & Living Conditions",True,603,"People, Work & Living Conditions",1.0,1,1,correct
Household composition by size,"People, Work & Living Conditions","People, Work & Living Conditions",True,832,"People, Work & Living Conditions",1.0,1,1,correct
Housing units by type of building,"People, Work & Living Conditions","People, Work & Living Conditions",True,850,"People, Work & Living Conditions",1.0,2,1,correct
Housing units by type,"People, Work & Living Conditions","People, Work & Living Conditions",True,850,"People, Work & Living Conditions",1.0,2,1,correct
Occupied conventional dwellings by number of rooms,"People, Work & Living Conditions","People, Work & Living Conditions",True,1245,"People, Work & Living Conditions",1.0,5,1,correct
Households by size (number of persons),"People, Work & Living Conditions","People, Work & Living Conditions",True,841,"People, Work & Living Conditions",1.0,1,1,correct
Persons brought before criminal courts by legal status of the court process,Health & Safety,Health & Safety,True,1364,Health & Safety,1.0,1,1,correct
Crimes recorded by the police,Health & Safety,Health & Safety,True,304,Health & Safety,1.0,2,1,correct
Crimes recorded by the police: homicide in cities,Health & Safety,Health & Safety,True,304,Health & Safety,1.0,2,1,correct
Intentional homicide offences in largest cities,Health & Safety,Health & Safety,True,936,Health & Safety,1.0,2,1,correct
Intentional homicide victims in largest cities by sex,Health & Safety,Health & Safety,True,936,Health & Safety,1.0,2,1,correct
Bribery by legal status and sex of the person involved,Health & Safety,Health & Safety,True,176,Health & Safety,1.0,1,1,correct
Police-recorded offences by offence category,Health & Safety,Health & Safety,True,1446,Health & Safety,1.0,1,1,correct
Police officers,Health & Safety,Health & Safety,True,1445,Health & Safety,1.0,1,1,correct
Prison capacity and number of persons held,Health & Safety,Health & Safety,True,1507,Health & Safety,1.0,2,1,correct
Prisoners by citizenship,Health & Safety,Health & Safety,True,1508,Health & Safety,1.0,1,1,correct
Prison population,Health & Safety,Health & Safety,True,1507,Health & Safety,1.0,2,1,correct
Prisoners by legal status of the trial process,Health & Safety,Health & Safety,True,1509,Health & Safety,1.0,1,1,correct
Suspects of migrant smuggling by citizenship,Health & Safety,Health & Safety,True,1840,Health & Safety,1.0,1,1,correct
Persons involved in trafficking in human beings by legal status and sex,Health & Safety,Health & Safety,True,1384,Health & Safety,1.0,1,1,correct
Victims of trafficking in human beings by citizenship,Health & Safety,Health & Safety,True,1992,Health & Safety,1.0,3,1,correct
Victims of trafficking in human beings by all forms of exploitation,Health & Safety,Health & Safety,True,1992,Health & Safety,1.0,3,1,correct
"Persons working as creative and performing artists, authors, journalists and linguists","People, Work & Living Conditions","People, Work & Living Conditions",True,1426,"People, Work & Living Conditions",1.0,1,1,correct
Cultural employment by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,319,"People, Work & Living Conditions",1.0,1,1,correct
Persons reading newspapers in the last 12 months by sex,Living Well,"People, Work & Living Conditions",False,1401,Living Well,1.0,3,1,"downstream (LLM domain choice, step 8)"
Mean consumption expenditure of private households on cultural goods and services by income quintile,Living Well,Money & Markets,False,1110,"People, Work & Living Conditions",0.75,4,2,"upstream (clustering, step 7)"
Abortion indicators,Health & Safety,Health & Safety,True,38,Health & Safety,1.0,1,1,correct
Deaths by age and sex,Health & Safety,"People, Work & Living Conditions",False,334,Health & Safety,0.5,2,2,"downstream (LLM domain choice, step 8)"
Excess mortality by month,Health & Safety,Health & Safety,True,570,Health & Safety,1.0,1,1,correct
Life expectancy by age and sex,Health & Safety,Health & Safety,True,1024,Health & Safety,1.0,2,1,correct
Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"People, Work & Living Conditions","People, Work & Living Conditions",True,1372,"People, Work & Living Conditions",1.0,1,1,correct
Median age of residents by sex and country of birth,"People, Work & Living Conditions","People, Work & Living Conditions",True,1116,"People, Work & Living Conditions",1.0,2,1,correct
Fertility indicators by NUTS 3 region,"People, Work & Living Conditions","People, Work & Living Conditions",True,615,"People, Work & Living Conditions",1.0,1,1,correct
Population change - Demographic balance and crude rates at regional level (NUTS 3),"People, Work & Living Conditions","People, Work & Living Conditions",True,1455,"People, Work & Living Conditions",1.0,2,1,correct
Population structure indicators by NUTS 3 region,"People, Work & Living Conditions","People, Work & Living Conditions",True,1448,"People, Work & Living Conditions",0.5454545454545454,11,2,correct
Usually resident population on 1 January,"People, Work & Living Conditions","People, Work & Living Conditions",True,1972,"People, Work & Living Conditions",1.0,1,1,correct
Beneficiaries of disability pensions by pension type,"People, Work & Living Conditions","People, Work & Living Conditions",True,169,"People, Work & Living Conditions",1.0,2,1,correct
Beneficiaries of disability pensions by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,169,"People, Work & Living Conditions",1.0,2,1,correct
Gender overall earnings gap,"People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
"Gender pay gap in unadjusted form by age - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology","People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
"Gender pay gap in unadjusted form by type of ownership of the economic activity - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology","People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
"Gender pay gap in unadjusted form by working time - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology","People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
Gender pay gap in unadjusted form -,"People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 1.1,"People, Work & Living Conditions","People, Work & Living Conditions",True,1152,"People, Work & Living Conditions",1.0,2,1,correct
Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 2 (from onwards),"People, Work & Living Conditions","People, Work & Living Conditions",True,1152,"People, Work & Living Conditions",1.0,2,1,correct
Tax rate on low wage earners - Low wage trap,"People, Work & Living Conditions","People, Work & Living Conditions",True,1848,"People, Work & Living Conditions",1.0,3,1,correct
Annual net earnings of a full-time single worker without children earning an average wage,"People, Work & Living Conditions","People, Work & Living Conditions",True,93,"People, Work & Living Conditions",1.0,1,1,correct
Tax rate on low wage earners: Tax wedge on labour costs,"People, Work & Living Conditions","People, Work & Living Conditions",True,1848,"People, Work & Living Conditions",1.0,3,1,correct
Tax rate on low wage earners - Unemployment trap,"People, Work & Living Conditions","People, Work & Living Conditions",True,1848,"People, Work & Living Conditions",1.0,3,1,correct
"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions","People, Work & Living Conditions",True,1106,"People, Work & Living Conditions",1.0,4,1,correct
"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions","People, Work & Living Conditions",True,1106,"People, Work & Living Conditions",1.0,4,1,correct
"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions",Money & Markets,False,86,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions",Money & Markets,False,86,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions","People, Work & Living Conditions",True,1150,"People, Work & Living Conditions",1.0,4,1,correct
"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions","People, Work & Living Conditions",True,1150,"People, Work & Living Conditions",1.0,4,1,correct
"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions","People, Work & Living Conditions",True,1106,"People, Work & Living Conditions",1.0,4,1,correct
"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions","People, Work & Living Conditions",True,1106,"People, Work & Living Conditions",1.0,4,1,correct
"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions",Money & Markets,False,86,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions",Money & Markets,False,86,"People, Work & Living Conditions",1.0,4,1,"downstream (LLM domain choice, step 8)"
"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions","People, Work & Living Conditions",True,1150,"People, Work & Living Conditions",1.0,4,1,correct
"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions","People, Work & Living Conditions",True,1150,"People, Work & Living Conditions",1.0,4,1,correct
Low-wage earners as a proportion of all employees (excluding apprentices) by age,"People, Work & Living Conditions","People, Work & Living Conditions",True,1058,"People, Work & Living Conditions",1.0,4,1,correct
Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level,"People, Work & Living Conditions","People, Work & Living Conditions",True,1058,"People, Work & Living Conditions",1.0,4,1,correct
Low-wage earners as a proportion of all employees (excluding apprentices) by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1058,"People, Work & Living Conditions",1.0,4,1,correct
Low-wage earners as a proportion of all employees (excluding apprentices) by employment contract,"People, Work & Living Conditions","People, Work & Living Conditions",True,1058,"People, Work & Living Conditions",1.0,4,1,correct
"Median hourly earnings, all employees (excluding apprentices) by age","People, Work & Living Conditions","People, Work & Living Conditions",True,1118,"People, Work & Living Conditions",1.0,2,1,correct
"Median hourly earnings, all employees (excluding apprentices) by sex","People, Work & Living Conditions","People, Work & Living Conditions",True,1118,"People, Work & Living Conditions",1.0,2,1,correct
"Population by educational attainment level, sex and age (%) - main indicators",Learning & Education,"People, Work & Living Conditions",False,1448,"People, Work & Living Conditions",0.5454545454545454,11,2,"upstream (clustering, step 7)"
Early leavers from education and training by sex and labour status,Learning & Education,Learning & Education,True,419,Learning & Education,1.0,5,1,correct
"Young people neither in employment nor in education and training by sex, age and labour status (NEET rates)",Learning & Education,"People, Work & Living Conditions",False,2025,"People, Work & Living Conditions",0.6,5,2,"upstream (clustering, step 7)"
Employed in service sector and occupational status of recent school-leavers,Learning & Education,"People, Work & Living Conditions",False,452,Learning & Education,1.0,1,1,"downstream (LLM domain choice, step 8)"
Parents educational attainment level,Learning & Education,Learning & Education,True,1295,Learning & Education,1.0,1,1,correct
Job mismatches and their labour market effects among school-leavers in Europe,Learning & Education,"People, Work & Living Conditions",False,971,Learning & Education,1.0,1,1,"downstream (LLM domain choice, step 8)"
Financial aid to students,Learning & Education,Money & Markets,False,630,Learning & Education,1.0,2,1,"downstream (LLM domain choice, step 8)"
Expenditure on education in constant prices,Learning & Education,Living Well,False,573,Learning & Education,0.6666666666666666,3,2,"downstream (LLM domain choice, step 8)"
Participation/ enrolment in education (ISCED 0-4),Learning & Education,Learning & Education,True,1303,Learning & Education,1.0,12,1,correct
Pupil/ student - teacher ratio and average class size (ISCED 1-3),Learning & Education,Learning & Education,True,1563,Learning & Education,1.0,1,1,correct
"Low achieving 15-year-olds in reading, mathematics or science by sex",Learning & Education,Learning & Education,True,1057,Learning & Education,1.0,2,1,correct
Pupils and students in education by age groups - as % of corresponding age population,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Pupils and students in education aged 30 and over - per 1000 of corresponding age population,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Expected school years of pupils and students by education level,Learning & Education,Learning & Education,True,572,Learning & Education,1.0,1,1,correct
Students in post-compulsory education - as % of the total population of post-compulsory school age,Learning & Education,Learning & Education,True,1819,Learning & Education,1.0,1,1,correct
"Pupils from age 4 to the starting age of compulsory education at primary level, by sex - as % of the population of the corresponding age group",Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Pupils from age 4 to the starting age of compulsory education at primary level by NUTS2 regions - % of the population of the corresponding age,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Pupils from age 5 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
"Pupils aged 4 years old, by sex - as % of the population of the corresponding age group",Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
"Pupils aged 3 years old, by sex - as % of the population of the corresponding age group",Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Pupils from age 3 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Pupils from age 3 to the starting age of compulsory education at primary level by NUTS2 regions - % of the population of the corresponding age,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Pupils from age 0 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Pupils under the age of 3 by sex - as % of the population of the corresponding age,Learning & Education,"People, Work & Living Conditions",False,1566,Learning & Education,1.0,1,1,"downstream (LLM domain choice, step 8)"
Out-of-school rate by sex and age - as % of the population of the corresponding age,Learning & Education,Learning & Education,True,1273,Learning & Education,1.0,3,1,correct
"Out-of-school rate in population of lower secondary school age, by sex",Learning & Education,Learning & Education,True,1273,Learning & Education,1.0,3,1,correct
"Out-of-school rate in population of upper secondary school age, by sex",Learning & Education,Learning & Education,True,1273,Learning & Education,1.0,3,1,correct
Ratio of the proportion of tertiary students over the proportion of the population by NUTS1 and NUTS2 regions,Learning & Education,Learning & Education,True,1592,Learning & Education,1.0,1,1,correct
Students in tertiary education - as % of 20-24 years old in the population,Learning & Education,Learning & Education,True,1820,Learning & Education,1.0,1,1,correct
Financial aid to students by education level - as % of total public expenditure,Learning & Education,Money & Markets,False,630,Learning & Education,1.0,2,1,"downstream (LLM domain choice, step 8)"
Expenditure on public educational institutions - as % of total or current expenditure,Learning & Education,Living Well,False,573,Learning & Education,0.6666666666666666,3,2,"downstream (LLM domain choice, step 8)"
"Ratio of annual expenditure per student at the tertiary level and primary level of education, in public educational institutions",Learning & Education,Learning & Education,True,1590,Learning & Education,1.0,1,1,correct
Graduates at doctoral level by sex and age groups - per 1000 of population aged 25-34,Learning & Education,Learning & Education,True,733,Learning & Education,1.0,2,1,correct
"Graduates at doctoral level, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 25-34",Learning & Education,Learning & Education,True,733,Learning & Education,1.0,2,1,correct
Graduates in tertiary education by education level – women per 100 men,Learning & Education,Learning & Education,True,735,Learning & Education,1.0,1,1,correct
Average number of foreign languages studied per pupil by education level,Learning & Education,"People, Work & Living Conditions",False,132,"People, Work & Living Conditions",0.875,8,2,"upstream (clustering, step 7)"
"Share of mobile students from abroad enrolled by education level, sex and country of origin",Learning & Education,Learning & Education,True,1756,Learning & Education,1.0,1,1,correct
"Female school-management personnel - as % of total school-management personnel, by education level",Learning & Education,Learning & Education,True,611,Learning & Education,1.0,1,1,correct
"Teachers working part-time - as % of all teachers, by education level",Learning & Education,Learning & Education,True,1851,Learning & Education,1.0,1,1,correct
"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population",Learning & Education,Learning & Education,True,222,Learning & Education,1.0,1,1,correct
Ratio of pupils to teachers and teacher aides by education level and programme orientation,Learning & Education,Learning & Education,True,1591,Learning & Education,1.0,1,1,correct
EU CO2 emissions from the production and consumption (footprint) perspectives (FIGARO application),Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,406,Environment & Natural Resources and Production,1.0,1,1,correct
Employment in Foreign Controlled Enterprises,Money & Markets,Money & Markets,True,490,Money & Markets,1.0,2,1,correct
Employment in Foreign Affiliates of Domestic Enterprises,Money & Markets,Money & Markets,True,490,Money & Markets,1.0,2,1,correct
Share of employment in EU Member States supported by EU exports (FIGARO application),Money & Markets,Money & Markets,True,1740,Money & Markets,1.0,1,1,correct
Intra-mural Business Enterprise R&D Expenditures in Foreign Controlled Enterprises,Tech & Innovation,Tech & Innovation,True,958,Tech & Innovation,1.0,1,1,correct
Enterprises sourcing abroad,Money & Markets,Money & Markets,True,532,Money & Markets,1.0,1,1,correct
Export to import ratio,Money & Markets,Money & Markets,True,587,Money & Markets,1.0,1,1,correct
Intermediate goods trade,Money & Markets,Money & Markets,True,941,Money & Markets,1.0,1,1,correct
Trade in goods with the top 5 partners,Money & Markets,Money & Markets,True,1899,Money & Markets,1.0,3,1,correct
Intermediate services trade,Money & Markets,Money & Markets,True,942,Money & Markets,1.0,1,1,correct
Trade in services with the top 5 partners,Money & Markets,Money & Markets,True,1903,Money & Markets,1.0,1,1,correct
Value Added in Foreign Controlled Enterprises,Money & Markets,Money & Markets,True,1979,Money & Markets,1.0,1,1,correct
Share of value added in EU Member States supported by EU exports (FIGARO application),Money & Markets,Money & Markets,True,1765,Money & Markets,1.0,1,1,correct
Concentration of multinational enterprise groups by NACE Rev.2 activity - experimental statistics,Money & Markets,Money & Markets,True,259,Money & Markets,1.0,1,1,correct
Persons employed in multinational enterprise groups by size class - experimental statistics,Money & Markets,Transports,False,1374,Transports,0.75,8,3,"upstream (clustering, step 7)"
Multinational enterprise groups in EU-EFTA countries by controlling country - experimental statistics,Money & Markets,Money & Markets,True,1166,Money & Markets,1.0,2,1,correct
"Multinational enterprise groups in EU-EFTA countries by controlling country, size class and NACE Rev.2 activity - experimental statistics",Money & Markets,Money & Markets,True,1166,Money & Markets,1.0,2,1,correct
Euro-zone Business Climate Indicator - monthly data,Money & Markets,Money & Markets,True,557,Money & Markets,1.0,5,1,correct
Crop production,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,307,Environment & Natural Resources and Production,1.0,1,1,correct
Livestock,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,246,Environment & Natural Resources and Production,1.0,1,1,correct
Meat production,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1114,Environment & Natural Resources and Production,1.0,2,1,correct
Balance of payments,Money & Markets,Money & Markets,True,158,Money & Markets,1.0,6,1,correct
Gross external debt of the whole economy,Money & Markets,Money & Markets,True,756,Money & Markets,1.0,2,1,correct
"Gross external debt of the whole economy, relative to exports of goods and services",Money & Markets,Money & Markets,True,756,Money & Markets,1.0,2,1,correct
Consumer price index,Money & Markets,Money & Markets,True,267,Money & Markets,1.0,1,1,correct
Population aged 30-34 who completed tertiary or equivalent education,Learning & Education,"People, Work & Living Conditions",False,1448,"People, Work & Living Conditions",0.5454545454545454,11,2,"upstream (clustering, step 7)"
Early leavers from education and training aged 18-24 by sex,Learning & Education,Learning & Education,True,419,Learning & Education,1.0,5,1,correct
Public expenditure on education,Learning & Education,Learning & Education,True,1558,Learning & Education,1.0,1,1,correct
Pupils and students enrolled by education level,Learning & Education,Learning & Education,True,1564,Learning & Education,1.0,11,1,correct
Main farm land use,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1070,Environment & Natural Resources and Production,1.0,1,1,correct
