cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains
1632,Tech & Innovation,1.0,1,1
1635,Tech & Innovation,1.0,1,1
1637,"People, Work & Living Conditions",1.0,2,1
1638,Money & Markets,1.0,1,1
1640,Environment & Natural Resources and Production,1.0,1,1
1643,Money & Markets,1.0,9,1
1644,Money & Markets,1.0,1,1
1645,"People, Work & Living Conditions",1.0,1,1
1648,Transports,1.0,1,1
165,Environment & Natural Resources and Production,1.0,1,1
1651,Transports,1.0,1,1
1652,Transports,1.0,3,1
1653,Transports,1.0,2,1
1654,Transports,1.0,1,1
1655,Transports,1.0,1,1
1656,Transports,1.0,1,1
1658,Transports,1.0,1,1
1661,Transports,1.0,1,1
1663,Environment & Natural Resources and Production,1.0,1,1
1667,Environment & Natural Resources and Production,1.0,1,1
167,Health & Safety,1.0,1,1
1671,Tech & Innovation,1.0,1,1
1673,Environment & Natural Resources and Production,1.0,1,1
1677,"People, Work & Living Conditions",1.0,2,1
1682,Learning & Education,1.0,1,1
1683,Transports,1.0,1,1
1685,Transports,1.0,3,1
1687,Transports,1.0,1,1
1688,"People, Work & Living Conditions",1.0,1,1
169,"People, Work & Living Conditions",1.0,2,1
1690,Environment & Natural Resources and Production,1.0,1,1
1692,Environment & Natural Resources and Production,1.0,1,1
1697,"People, Work & Living Conditions",1.0,1,1
1698,"People, Work & Living Conditions",1.0,1,1
1699,"People, Work & Living Conditions",1.0,1,1
170,"People, Work & Living Conditions",1.0,2,1
1702,Health & Safety,1.0,6,1
1703,Health & Safety,1.0,1,1
1704,Health & Safety,1.0,1,1
1710,Environment & Natural Resources and Production,1.0,13,1
1711,Transports,1.0,2,1
1719,Money & Markets,1.0,1,1
172,Environment & Natural Resources and Production,1.0,1,1
1720,Money & Markets,1.0,1,1
1721,Environment & Natural Resources and Production,1.0,2,1
1722,"People, Work & Living Conditions",1.0,14,1
1724,"People, Work & Living Conditions",1.0,1,1
1728,Environment & Natural Resources and Production,1.0,1,1
173,Health & Safety,1.0,2,1
1730,Environment & Natural Resources and Production,1.0,1,1
1731,"People, Work & Living Conditions",0.6666666666666666,3,2
1732,Money & Markets,1.0,1,1
1733,Tech & Innovation,1.0,1,1
1734,Tech & Innovation,1.0,1,1
1736,Transports,1.0,1,1
1737,"People, Work & Living Conditions",1.0,1,1
1739,"People, Work & Living Conditions",1.0,2,1
1740,Money & Markets,1.0,1,1
1741,Environment & Natural Resources and Production,1.0,1,1
1742,Tech & Innovation,1.0,1,1
1743,Money & Markets,1.0,1,1
1747,Environment & Natural Resources and Production,1.0,1,1
1748,Environment & Natural Resources and Production,1.0,1,1
175,Health & Safety,1.0,1,1
1750,Tech & Innovation,1.0,1,1
1754,Environment & Natural Resources and Production,1.0,1,1
1756,Learning & Education,1.0,1,1
1757,Environment & Natural Resources and Production,1.0,1,1
176,Health & Safety,1.0,1,1
1760,Transports,1.0,1,1
1761,Environment & Natural Resources and Production,1.0,1,1
1763,"People, Work & Living Conditions",1.0,4,1
1764,Money & Markets,1.0,1,1
1765,Money & Markets,1.0,1,1
1766,Tech & Innovation,1.0,2,1
177,Tech & Innovation,1.0,1,1
1772,Transports,1.0,3,1
1775,Environment & Natural Resources and Production,1.0,1,1
1779,Health & Safety,1.0,1,1
178,Money & Markets,1.0,2,1
1784,"People, Work & Living Conditions",1.0,1,1
1785,"People, Work & Living Conditions",1.0,1,1
1789,Environment & Natural Resources and Production,1.0,1,1
179,Transports,1.0,1,1
1790,Environment & Natural Resources and Production,1.0,1,1
1792,Learning & Education,1.0,1,1
1796,Transports,1.0,1,1
1798,Health & Safety,1.0,2,1
1799,Health & Safety,1.0,2,1
18,Environment & Natural Resources and Production,1.0,1,1
180,Money & Markets,1.0,1,1
1801,Health & Safety,1.0,1,1
1806,Transports,1.0,1,1
1807,Money & Markets,1.0,1,1
1810,Environment & Natural Resources and Production,1.0,1,1
1819,Learning & Education,1.0,1,1
1820,Learning & Education,1.0,1,1
1822,"People, Work & Living Conditions",1.0,3,1
1825,"People, Work & Living Conditions",1.0,1,1
1826,Transports,1.0,1,1
1834,Environment & Natural Resources and Production,1.0,2,1
184,Money & Markets,1.0,1,1
1840,Health & Safety,1.0,1,1
1843,Environment & Natural Resources and Production,1.0,1,1
1848,"People, Work & Living Conditions",1.0,3,1
1851,Learning & Education,1.0,1,1
1854,Learning & Education,1.0,1,1
1859,Money & Markets,1.0,1,1
1860,Transports,1.0,1,1
1861,Learning & Education,1.0,2,1
1865,"People, Work & Living Conditions",1.0,1,1
1866,"People, Work & Living Conditions",1.0,2,1
1867,Money & Markets,1.0,1,1
1868,Living Well,0.8333333333333334,6,2
1869,Living Well,1.0,1,1
1870,Living Well,1.0,1,1
1871,Living Well,1.0,1,1
1872,Living Well,1.0,1,1
1873,Transports,1.0,5,1
1877,Environment & Natural Resources and Production,1.0,2,1
1878,Money & Markets,1.0,1,1
1880,"People, Work & Living Conditions",1.0,1,1
1882,"People, Work & Living Conditions",1.0,4,1
1883,"People, Work & Living Conditions",1.0,1,1
1884,Money & Markets,1.0,2,1
1885,Money & Markets,1.0,2,1
1889,Transports,1.0,2,1
1893,"People, Work & Living Conditions",1.0,1,1
1894,Tech & Innovation,1.0,1,1
1896,"People, Work & Living Conditions",1.0,1,1
1897,Living Well,1.0,1,1
1899,Money & Markets,1.0,3,1
19,Money & Markets,1.0,1,1
1903,Money & Markets,1.0,1,1
1905,Money & Markets,1.0,1,1
1907,Money & Markets,1.0,1,1
1908,Transports,1.0,2,1
1910,Transports,1.0,4,1
1912,Transports,1.0,1,1
1916,"People, Work & Living Conditions",1.0,2,1
192,Money & Markets,1.0,1,1
1927,Environment & Natural Resources and Production,1.0,2,1
1933,Living Well,1.0,1,1
1935,Money & Markets,1.0,16,1
1943,Money & Markets,1.0,1,1
1947,Health & Safety,1.0,1,1
195,Transports,1.0,3,1
1950,"People, Work & Living Conditions",1.0,12,1
1953,"People, Work & Living Conditions",1.0,1,1
1954,"People, Work & Living Conditions",1.0,1,1
1956,Money & Markets,1.0,2,1
1957,Money & Markets,1.0,1,1
196,Environment & Natural Resources and Production,1.0,3,1
1960,Transports,1.0,5,1
1961,Environment & Natural Resources and Production,1.0,1,1
1963,Environment & Natural Resources and Production,1.0,1,1
1972,"People, Work & Living Conditions",1.0,1,1
1975,Health & Safety,1.0,1,1
1976,"People, Work & Living Conditions",1.0,1,1
1979,Money & Markets,1.0,1,1
1986,Transports,1.0,1,1
1987,Transports,1.0,1,1
199,Health & Safety,1.0,3,1
1992,Health & Safety,1.0,3,1
1994,Transports,1.0,1,1
1995,Transports,1.0,1,1
1997,Transports,1.0,1,1
1998,Environment & Natural Resources and Production,1.0,1,1
2003,Environment & Natural Resources and Production,1.0,1,1
2004,Environment & Natural Resources and Production,1.0,1,1
2005,Environment & Natural Resources and Production,1.0,3,1
2007,Environment & Natural Resources and Production,1.0,1,1
2008,Environment & Natural Resources and Production,1.0,1,1
2009,Environment & Natural Resources and Production,1.0,1,1
201,Money & Markets,1.0,3,1
2015,Environment & Natural Resources and Production,1.0,2,1
2016,Environment & Natural Resources and Production,1.0,1,1
2020,Health & Safety,1.0,38,1
2024,Health & Safety,1.0,1,1
2025,"People, Work & Living Conditions",0.6,5,2
2029,"People, Work & Living Conditions",1.0,4,1
204,Environment & Natural Resources and Production,1.0,1,1
206,"People, Work & Living Conditions",1.0,1,1
21,Environment & Natural Resources and Production,1.0,1,1
210,"People, Work & Living Conditions",1.0,3,1
211,"People, Work & Living Conditions",1.0,2,1
212,"People, Work & Living Conditions",1.0,2,1
213,"People, Work & Living Conditions",0.6666666666666666,3,2
216,"People, Work & Living Conditions",1.0,1,1
218,Health & Safety,1.0,1,1
219,Environment & Natural Resources and Production,1.0,2,1
22,Transports,1.0,1,1
222,Learning & Education,1.0,1,1
223,Environment & Natural Resources and Production,1.0,1,1
226,Environment & Natural Resources and Production,1.0,1,1
228,Transports,1.0,3,1
229,Transports,1.0,1,1
23,Transports,1.0,1,1
231,Money & Markets,1.0,2,1
232,Environment & Natural Resources and Production,1.0,1,1
233,Environment & Natural Resources and Production,1.0,2,1
236,Tech & Innovation,1.0,1,1
238,Money & Markets,1.0,1,1
239,"People, Work & Living Conditions",1.0,1,1
240,"People, Work & Living Conditions",1.0,1,1
241,Environment & Natural Resources and Production,1.0,1,1
243,"People, Work & Living Conditions",1.0,1,1
244,Environment & Natural Resources and Production,1.0,1,1
245,Learning & Education,1.0,1,1
246,Environment & Natural Resources and Production,1.0,1,1
249,Transports,1.0,1,1
25,Environment & Natural Resources and Production,1.0,1,1
251,"People, Work & Living Conditions",1.0,1,1
252,Tech & Innovation,1.0,13,1
253,Money & Markets,1.0,1,1
254,Money & Markets,0.5,2,2
256,Environment & Natural Resources and Production,1.0,1,1
259,Money & Markets,1.0,1,1
26,Transports,1.0,2,1
261,Money & Markets,1.0,1,1
262,Money & Markets,1.0,1,1
266,Health & Safety,1.0,3,1
267,Money & Markets,1.0,1,1
270,Environment & Natural Resources and Production,1.0,1,1
272,Health & Safety,1.0,1,1
273,Environment & Natural Resources and Production,1.0,1,1
276,Environment & Natural Resources and Production,1.0,1,1
278,Transports,1.0,1,1
28,Health & Safety,1.0,1,1
281,Environment & Natural Resources and Production,1.0,1,1
283,Environment & Natural Resources and Production,1.0,1,1
286,Money & Markets,1.0,1,1
287,Money & Markets,1.0,1,1
288,Environment & Natural Resources and Production,1.0,1,1
290,Money & Markets,1.0,3,1
292,Money & Markets,1.0,1,1
297,Transports,1.0,3,1
298,Transports,1.0,1,1
299,Transports,1.0,1,1
3,Health & Safety,1.0,4,1
304,Health & Safety,1.0,2,1
306,Environment & Natural Resources and Production,1.0,1,1
307,Environment & Natural Resources and Production,1.0,1,1
315,"People, Work & Living Conditions",1.0,1,1
316,"People, Work & Living Conditions",1.0,1,1
318,"People, Work & Living Conditions",1.0,1,1
319,"People, Work & Living Conditions",1.0,1,1
32,Environment & Natural Resources and Production,1.0,1,1
322,Money & Markets,1.0,2,1
323,Money & Markets,1.0,5,1
324,Health & Safety,1.0,2,1
325,Money & Markets,1.0,1,1
326,Tech & Innovation,1.0,1,1
328,Health & Safety,1.0,1,1
329,Health & Safety,1.0,2,1
332,Money & Markets,1.0,3,1
333,Health & Safety,1.0,13,1
334,Health & Safety,0.5,2,2
335,Health & Safety,1.0,1,1
336,Health & Safety,1.0,1,1
34,Money & Markets,1.0,2,1
340,Money & Markets,1.0,1,1
341,"People, Work & Living Conditions",1.0,4,1
345,"People, Work & Living Conditions",1.0,1,1
346,Living Well,1.0,1,1
347,"People, Work & Living Conditions",1.0,1,1
35,Money & Markets,1.0,1,1
358,Money & Markets,1.0,4,1
360,Environment & Natural Resources and Production,1.0,1,1
361,Health & Safety,1.0,1,1
362,"People, Work & Living Conditions",1.0,2,1
364,"People, Work & Living Conditions",1.0,7,1
368,"People, Work & Living Conditions",1.0,9,1
38,Health & Safety,1.0,1,1
383,Environment & Natural Resources and Production,1.0,1,1
387,Money & Markets,1.0,8,1
388,Environment & Natural Resources and Production,1.0,1,1
392,Environment & Natural Resources and Production,1.0,1,1
393,Environment & Natural Resources and Production,1.0,1,1
396,"People, Work & Living Conditions",1.0,1,1
397,"People, Work & Living Conditions",1.0,1,1
4,Money & Markets,1.0,1,1
40,"People, Work & Living Conditions",1.0,1,1
402,Money & Markets,1.0,1,1
403,Money & Markets,1.0,2,1
406,Environment & Natural Resources and Production,1.0,1,1
41,Health & Safety,1.0,1,1
410,Money & Markets,1.0,1,1
411,"People, Work & Living Conditions",1.0,1,1
412,Transports,1.0,4,1
413,Environment & Natural Resources and Production,1.0,1,1
419,Learning & Education,1.0,5,1
420,"People, Work & Living Conditions",1.0,1,1
422,Environment & Natural Resources and Production,1.0,1,1
423,Money & Markets,1.0,1,1
426,Money & Markets,1.0,1,1
430,"People, Work & Living Conditions",1.0,1,1
435,"People, Work & Living Conditions",1.0,1,1
436,"People, Work & Living Conditions",1.0,2,1
437,Learning & Education,1.0,1,1
44,Transports,1.0,1,1
441,Environment & Natural Resources and Production,1.0,1,1
445,"People, Work & Living Conditions",1.0,1,1
446,"People, Work & Living Conditions",0.9444444444444444,18,2
45,Transports,1.0,1,1
450,Tech & Innovation,1.0,3,1
452,Learning & Education,1.0,1,1
454,"People, Work & Living Conditions",1.0,1,1
455,"People, Work & Living Conditions",1.0,1,1
458,"People, Work & Living Conditions",1.0,1,1
46,Living Well,1.0,1,1
463,"People, Work & Living Conditions",1.0,1,1
465,"People, Work & Living Conditions",1.0,1,1
468,"People, Work & Living Conditions",1.0,2,1
471,"People, Work & Living Conditions",1.0,1,1
473,"People, Work & Living Conditions",0.8333333333333334,12,3
474,"People, Work & Living Conditions",1.0,1,1
477,"People, Work & Living Conditions",1.0,1,1
478,"People, Work & Living Conditions",1.0,1,1
48,"People, Work & Living Conditions",1.0,1,1
485,"People, Work & Living Conditions",1.0,1,1
487,"People, Work & Living Conditions",1.0,1,1
488,Money & Markets,1.0,2,1
489,Money & Markets,1.0,1,1
490,Money & Markets,1.0,2,1
493,Transports,1.0,2,1
495,"People, Work & Living Conditions",1.0,2,1
499,Money & Markets,0.5,2,2
5,Transports,1.0,1,1
503,Health & Safety,1.0,1,1
504,Environment & Natural Resources and Production,1.0,3,1
505,Environment & Natural Resources and Production,1.0,1,1
509,Environment & Natural Resources and Production,1.0,1,1
513,Environment & Natural Resources and Production,1.0,1,1
514,Environment & Natural Resources and Production,1.0,1,1
516,Environment & Natural Resources and Production,1.0,1,1
518,Money & Markets,0.75,12,2
521,Money & Markets,1.0,1,1
523,Tech & Innovation,1.0,1,1
53,"People, Work & Living Conditions",0.6666666666666666,3,2
532,Money & Markets,1.0,1,1
534,Tech & Innovation,1.0,1,1
539,Money & Markets,1.0,1,1
54,Money & Markets,1.0,1,1
543,Environment & Natural Resources and Production,1.0,1,1
547,Environment & Natural Resources and Production,1.0,1,1
549,Environment & Natural Resources and Production,1.0,1,1
55,"People, Work & Living Conditions",0.5,2,2
552,"People, Work & Living Conditions",1.0,1,1
554,Environment & Natural Resources and Production,1.0,1,1
555,Environment & Natural Resources and Production,1.0,2,1
557,Money & Markets,1.0,5,1
565,Tech & Innovation,1.0,5,1
568,Health & Safety,1.0,10,1
569,Health & Safety,1.0,5,1
57,Learning & Education,1.0,1,1
570,Health & Safety,1.0,1,1
571,Money & Markets,1.0,1,1
572,Learning & Education,1.0,1,1
573,Learning & Education,0.6666666666666666,3,2
578,Transports,1.0,1,1
579,"People, Work & Living Conditions",1.0,1,1
58,"People, Work & Living Conditions",1.0,1,1
580,Transports,1.0,1,1
582,"People, Work & Living Conditions",1.0,2,1
586,Money & Markets,1.0,4,1
587,Money & Markets,1.0,1,1
588,Money & Markets,1.0,9,1
589,Environment & Natural Resources and Production,1.0,1,1
592,Learning & Education,1.0,1,1
593,Money & Markets,1.0,1,1
594,Money & Markets,1.0,4,1
597,Money & Markets,1.0,1,1
6,Living Well,1.0,3,1
60,"People, Work & Living Conditions",1.0,4,1
603,"People, Work & Living Conditions",1.0,1,1
